Route,Service Hours Canceled,Service Hours Run,Trips Canceled,Trips Run,Percent of Service Hours Canceled,Percent of Trips Canceled
53,1 days 20:23:00,7 days 07:15:00,33,129,20.207922294733645,20.37037037037037
232,1 days 09:50:00,5 days 16:25:00,19,77,19.872736172295642,19.791666666666668
601,0 days 04:31:00,0 days 18:55:00,22,92,19.27453769559033,19.29824561403509
18,2 days 08:55:00,10 days 15:25:00,46,217,18.223052294557096,17.490494296577946
66,1 days 09:21:00,7 days 01:12:00,28,146,16.46507035299926,16.091954022988507
266,1 days 00:40:00,5 days 15:16:00,15,84,15.423092955398083,15.151515151515152
45,1 days 07:04:00,9 days 08:10:00,23,171,12.171868878150711,11.855670103092784
204,1 days 02:36:00,8 days 17:11:00,20,168,11.28154379020287,10.638297872340425
205,0 days 14:20:00,4 days 19:01:00,7,61,11.081046256925655,10.294117647058824
28,0 days 22:59:00,7 days 21:50:00,20,159,10.799592763724645,11.1731843575419
60,1 days 11:05:00,12 days 10:51:00,27,223,10.506089039728488,10.8
20,0 days 19:18:00,7 days 08:08:00,15,142,9.875490363295242,9.554140127388536
180,0 days 22:51:00,9 days 00:12:00,16,161,9.558669734365196,9.03954802259887
169,0 days 06:33:00,2 days 15:55:00,3,33,9.295175023651845,8.333333333333334
2,1 days 09:27:00,14 days 03:06:00,19,199,8.978660582472152,8.715596330275229
166,0 days 08:35:00,3 days 18:07:00,9,97,8.696386355960824,8.49056603773585
16,1 days 00:50:00,11 days 01:54:00,23,252,8.541618894748911,8.363636363636363
35/38,0 days 09:29:00,4 days 09:46:00,9,121,8.228488792480116,6.923076923076923
720,1 days 06:53:00,16 days 06:18:00,23,299,7.332515531637054,7.142857142857143
125,0 days 10:15:00,5 days 12:39:00,6,81,7.172848145556333,6.896551724137931
251,0 days 17:54:00,9 days 15:40:00,13,188,7.17243221584079,6.467661691542289
105,0 days 19:08:00,10 days 19:51:00,12,184,6.858235258976044,6.122448979591836
603,0 days 13:42:00,7 days 19:39:00,10,146,6.8040725105537625,6.410256410256411
150,0 days 05:11:00,2 days 23:46:00,7,93,6.735975741823695,7.0
605,0 days 03:11:00,1 days 20:10:00,7,103,6.722984864484337,6.363636363636363
207,0 days 21:28:00,12 days 16:04:00,17,247,6.594306778619701,6.4393939393939394
206,0 days 09:19:00,5 days 14:23:00,7,110,6.483414520992809,5.982905982905983
236/235,0 days 04:18:00,2 days 14:09:00,4,62,6.471030850263356,6.0606060606060606
152,0 days 10:24:00,6 days 18:20:00,7,118,6.020841373986878,5.6
30,0 days 11:41:00,7 days 17:07:00,12,190,5.936653116531165,5.9405940594059405
240,0 days 13:18:00,8 days 21:45:00,10,168,5.857740585774058,5.617977528089888
10/48,0 days 08:26:00,6 days 08:37:00,7,118,5.236469005484839,5.6
81,0 days 10:09:00,7 days 15:47:00,6,112,5.233757304915779,5.084745762711864
33,0 days 16:17:00,12 days 23:30:00,9,202,4.967712411654039,4.265402843601896
577,0 days 02:47:00,2 days 07:11:00,3,53,4.801610120759057,5.357142857142857
55,0 days 07:07:00,5 days 21:18:00,6,127,4.795058955642897,4.511278195488722
108,0 days 11:02:00,10 days 09:05:00,7,167,4.2416864227590185,4.022988505747127
51,0 days 12:48:00,12 days 23:39:00,11,269,3.94513792572045,3.9285714285714284
162,0 days 06:23:00,6 days 21:01:00,4,117,3.724231816413847,3.3057851239669422
117,0 days 05:25:00,6 days 00:09:00,4,98,3.621573434365946,3.9215686274509802
233,0 days 06:32:00,7 days 08:13:00,6,162,3.5750113999088007,3.5714285714285716
217,0 days 06:10:00,6 days 22:51:00,6,171,3.564203833927367,3.389830508474576
40,0 days 10:57:00,14 days 03:57:00,6,182,3.1205471644343117,3.1914893617021276
234,0 days 05:29:00,7 days 08:30:00,4,165,3.0130964374026927,2.366863905325444
754,0 days 04:15:00,6 days 03:00:00,4,136,2.809917355371901,2.857142857142857
260,0 days 05:06:00,9 days 00:29:00,3,123,2.3016171493042497,2.380952380952381
165,0 days 03:31:00,6 days 12:53:00,3,111,2.1924355777223608,2.6315789473684212
70,0 days 05:59:00,11 days 16:53:00,4,200,2.0857541250290494,1.9607843137254901
76,0 days 02:47:00,5 days 11:58:00,2,102,2.0655534941249227,1.9230769230769231
4,0 days 08:22:00,17 days 02:35:00,5,227,1.9970561323944782,2.1551724137931036
14/37,0 days 04:13:00,9 days 05:15:00,3,150,1.870195150798344,1.9607843137254901
Metro J Line (Silver) 910/950,0 days 04:41:00,10 days 08:11:00,3,225,1.8520959662536252,1.3157894736842106
460,0 days 01:42:00,5 days 14:25:00,1,67,1.248928615158565,1.4705882352941178
210,0 days 03:14:00,10 days 20:33:00,2,174,1.2257534592784483,1.1363636363636365
94,0 days 01:20:00,7 days 05:58:00,1,121,0.7606008746910059,0.819672131147541
212,0 days 01:09:00,7 days 03:35:00,1,138,0.6657661134697028,0.7194244604316546
111,0 days 01:12:00,10 days 09:02:00,1,170,0.47955241774343943,0.5847953216374269
182,0 days 00:17:00,2 days 23:06:00,1,73,0.39691804809712816,1.3513513513513513
Metro G Line (Orange) 901,0 days 00:47:00,8 days 10:33:00,1,253,0.38524590163934425,0.3937007874015748
96,0 days 00:00:00,1 days 16:24:00,0,43,0.0,0.0
690,0 days 00:00:00,1 days 11:35:00,0,42,0.0,0.0
665,0 days 00:00:00,0 days 11:22:00,0,32,0.0,0.0
487,0 days 00:00:00,2 days 08:22:00,0,58,0.0,0.0
662,0 days 00:00:00,1 days 20:32:00,0,47,0.0,0.0
501,0 days 00:00:00,2 days 23:08:00,0,82,0.0,0.0
660,0 days 00:00:00,1 days 03:00:00,0,77,0.0,0.0
78,0 days 00:00:00,7 days 05:29:00,0,163,0.0,0.0
686,0 days 00:00:00,0 days 12:00:00,0,34,0.0,0.0
62,0 days 00:00:00,3 days 20:10:00,0,49,0.0,0.0
550,0 days 00:00:00,1 days 10:49:00,0,38,0.0,0.0
