Route,Service Hours Canceled,Service Hours Run,Trips Canceled,Trips Run,Percent of Service Hours Canceled,Percent of Trips Canceled
130,0 days 03:32:00,0 days 14:37:00,6,24,19.467401285583104,20.0
111,1 days 08:59:00,5 days 17:46:00,24,106,19.316739873108833,18.46153846153846
266,0 days 18:06:00,3 days 11:12:00,12,56,17.867719644619942,17.647058823529413
256,0 days 08:21:00,1 days 18:24:00,6,32,16.45320197044335,15.789473684210526
603,0 days 23:07:00,6 days 05:08:00,20,136,13.420416061925495,12.820512820512821
605,0 days 03:49:00,1 days 04:53:00,9,72,11.671763506625892,11.11111111111111
240,0 days 18:44:00,6 days 23:31:00,15,134,10.058165548098435,10.06711409395973
10/48,0 days 09:42:00,4 days 09:41:00,7,80,8.406760075111945,8.045977011494253
81,0 days 12:05:00,6 days 12:06:00,7,98,7.184619958378754,6.666666666666667
115,0 days 10:26:00,5 days 15:33:00,6,84,7.146934581573239,6.666666666666667
267,0 days 01:25:00,0 days 18:59:00,2,26,6.944444444444445,7.142857142857143
210,0 days 15:29:00,8 days 17:50:00,11,145,6.871810045121681,7.051282051282051
66,0 days 08:49:00,5 days 11:59:00,8,120,6.261837121212121,6.25
53,0 days 09:45:00,6 days 10:11:00,7,118,5.947539650264335,5.6
14/37,0 days 09:24:00,6 days 16:27:00,8,116,5.5342949661466,6.451612903225806
20,0 days 07:29:00,6 days 10:02:00,7,133,4.633164792075121,5.0
246,0 days 02:01:00,1 days 17:47:00,3,51,4.604261796042618,5.555555555555555
117,0 days 04:25:00,3 days 19:53:00,3,68,4.586362062997577,4.225352112676056
40,0 days 11:29:00,10 days 06:15:00,6,139,4.455509570615623,4.137931034482759
60,0 days 10:46:00,10 days 21:34:00,7,180,3.953488372093023,3.7433155080213902
33,0 days 09:21:00,10 days 07:31:00,6,168,3.6400207630417856,3.4482758620689653
45,0 days 07:46:00,9 days 02:30:00,7,175,3.432527990571597,3.8461538461538463
720,0 days 09:48:00,11 days 13:48:00,8,233,3.407510431154381,3.319502074688797
164,0 days 02:51:00,3 days 11:46:00,2,63,3.2903598229747932,3.076923076923077
251,0 days 07:09:00,8 days 21:57:00,5,183,3.2338308457711444,2.6595744680851063
180,0 days 05:34:00,7 days 02:23:00,4,133,3.163777588330018,2.9197080291970803
206,0 days 02:23:00,3 days 05:14:00,2,66,2.9935105714883816,2.9411764705882355
Metro G Line (Orange) 901,0 days 04:50:00,6 days 21:42:00,6,212,2.8342455043002346,2.7522935779816513
35/38,0 days 02:22:00,3 days 11:38:00,4,95,2.751937984496124,4.040404040404041
165,0 days 02:22:00,3 days 12:54:00,2,64,2.7119938884644768,3.0303030303030303
207,0 days 05:55:00,9 days 16:04:00,5,202,2.4861684991946214,2.4154589371980677
76,0 days 02:37:00,4 days 08:52:00,2,86,2.4344859668165606,2.272727272727273
204,0 days 05:09:00,8 days 15:56:00,4,177,2.4168947985921,2.2099447513812156
28,0 days 03:34:00,6 days 03:13:00,3,134,2.365425002763347,2.18978102189781
16,0 days 04:17:00,8 days 14:14:00,4,207,2.0346765893436785,1.8957345971563981
2,0 days 05:41:00,11 days 10:40:00,3,166,2.027227869924499,1.7751479289940828
217,0 days 02:29:00,5 days 13:37:00,3,138,1.8246387460200832,2.127659574468085
232,0 days 01:54:00,4 days 12:35:00,1,64,1.7197163976467038,1.5384615384615385
18,0 days 04:46:00,11 days 11:00:00,4,241,1.7038007863695936,1.6326530612244898
94,0 days 01:29:00,4 days 02:04:00,1,73,1.4900385066130923,1.3513513513513513
166,0 days 00:48:00,2 days 11:26:00,1,66,1.3281682346430548,1.492537313432836
55,0 days 01:10:00,3 days 16:12:00,1,86,1.3054830287206267,1.1494252873563218
30,0 days 02:01:00,6 days 23:09:00,2,177,1.1921182266009853,1.1173184357541899
754,0 days 01:08:00,4 days 18:01:00,1,113,0.9842234766246925,0.8771929824561403
Metro J Line (Silver) 910/950,0 days 01:22:00,6 days 14:04:00,1,140,0.8572025925151578,0.7092198581560284
233,0 days 00:47:00,7 days 03:27:00,1,164,0.454809367137604,0.6060606060606061
62,0 days 00:00:00,2 days 22:35:00,0,40,0.0,0.0
550,0 days 00:00:00,0 days 20:14:00,0,34,0.0,0.0
125,0 days 00:00:00,3 days 15:58:00,0,58,0.0,0.0
534,0 days 00:00:00,1 days 07:54:00,0,32,0.0,0.0
601,0 days 00:00:00,0 days 22:59:00,0,114,0.0,0.0
602,0 days 00:00:00,1 days 04:48:00,0,46,0.0,0.0
127,0 days 00:00:00,1 days 20:18:00,0,47,0.0,0.0
120,0 days 00:00:00,2 days 22:17:00,0,38,0.0,0.0
110,0 days 00:00:00,3 days 18:10:00,0,62,0.0,0.0
611,0 days 00:00:00,1 days 17:09:00,0,36,0.0,0.0
617,0 days 00:00:00,1 days 01:03:00,0,39,0.0,0.0
70,0 days 00:00:00,8 days 18:39:00,0,162,0.0,0.0
108,0 days 00:00:00,7 days 05:34:00,0,120,0.0,0.0
660,0 days 00:00:00,1 days 02:16:00,0,75,0.0,0.0
662,0 days 00:00:00,1 days 17:15:00,0,44,0.0,0.0
665,0 days 00:00:00,0 days 09:48:00,0,28,0.0,0.0
686,0 days 00:00:00,0 days 11:26:00,0,32,0.0,0.0
690,0 days 00:00:00,1 days 11:35:00,0,42,0.0,0.0
501,0 days 00:00:00,1 days 13:06:00,0,47,0.0,0.0
106,0 days 00:00:00,3 days 04:27:00,0,59,0.0,0.0
761,0 days 00:00:00,4 days 22:19:00,0,66,0.0,0.0
78,0 days 00:00:00,5 days 00:53:00,0,116,0.0,0.0
105,0 days 00:00:00,7 days 18:24:00,0,137,0.0,0.0
90,0 days 00:00:00,4 days 23:06:00,0,66,0.0,0.0
92,0 days 00:00:00,4 days 10:26:00,0,65,0.0,0.0
96,0 days 00:00:00,1 days 02:13:00,0,32,0.0,0.0
51,0 days 00:00:00,11 days 03:32:00,0,242,0.0,0.0
152,0 days 00:00:00,3 days 23:28:00,0,74,0.0,0.0
487,0 days 00:00:00,1 days 00:34:00,0,31,0.0,0.0
222,0 days 00:00:00,1 days 17:14:00,0,39,0.0,0.0
161,0 days 00:00:00,1 days 08:19:00,0,28,0.0,0.0
237,0 days 00:00:00,2 days 07:45:00,0,36,0.0,0.0
236/235,0 days 00:00:00,1 days 07:44:00,0,32,0.0,0.0
234,0 days 00:00:00,6 days 00:30:00,0,139,0.0,0.0
230,0 days 00:00:00,1 days 15:04:00,0,45,0.0,0.0
224/690,0 days 00:00:00,3 days 16:48:00,0,92,0.0,0.0
218,0 days 00:00:00,0 days 22:52:00,0,36,0.0,0.0
460,0 days 00:00:00,4 days 03:02:00,0,51,0.0,0.0
212,0 days 00:00:00,5 days 04:52:00,0,103,0.0,0.0
162,0 days 00:00:00,4 days 12:03:00,0,82,0.0,0.0
205,0 days 00:00:00,2 days 22:11:00,0,41,0.0,0.0
182,0 days 00:00:00,2 days 01:07:00,0,48,0.0,0.0
179,0 days 00:00:00,1 days 06:33:00,0,49,0.0,0.0
169,0 days 00:00:00,1 days 19:11:00,0,28,0.0,0.0
242/243,0 days 00:00:00,1 days 14:04:00,0,84,0.0,0.0
244,0 days 00:00:00,1 days 00:04:00,0,42,0.0,0.0
102,0 days 00:00:00,2 days 02:55:00,0,39,0.0,0.0
158,0 days 00:00:00,1 days 11:11:00,0,30,0.0,0.0
258,0 days 00:00:00,2 days 00:42:00,0,29,0.0,0.0
260,0 days 00:00:00,6 days 00:04:00,0,84,0.0,0.0
265,0 days 00:00:00,1 days 04:09:00,0,26,0.0,0.0
155,0 days 00:00:00,2 days 06:13:00,0,36,0.0,0.0
154,0 days 00:00:00,1 days 03:34:00,0,32,0.0,0.0
268,0 days 00:00:00,0 days 21:07:00,0,30,0.0,0.0
287,0 days 00:00:00,0 days 12:44:00,0,34,0.0,0.0
294,0 days 00:00:00,2 days 08:39:00,0,70,0.0,0.0
167,0 days 00:00:00,2 days 10:07:00,0,41,0.0,0.0
344,0 days 00:00:00,1 days 06:18:00,0,33,0.0,0.0
