Route,Service Hours Canceled,Service Hours Run,Trips Canceled,Trips Run,Percent of Service Hours Canceled,Percent of Trips Canceled
18,3 days 03:49:00,8 days 11:57:00,64,181,27.09996425592756,26.122448979591837
16,2 days 02:43:00,6 days 15:45:00,48,163,24.09724421919544,22.748815165876778
45,2 days 02:45:00,7 days 07:31:00,39,143,22.42928697701827,21.428571428571427
10/48,1 days 01:21:00,3 days 18:02:00,18,69,21.970244113823487,20.689655172413794
2,2 days 12:27:00,9 days 03:54:00,34,135,21.562332798287855,20.118343195266274
35/38,0 days 15:35:00,2 days 22:25:00,20,79,18.12015503875969,20.2020202020202
20,1 days 03:22:00,5 days 14:09:00,23,117,16.943555876586522,16.428571428571427
70,1 days 09:54:00,7 days 08:45:00,25,137,16.093045335865177,15.432098765432098
51,1 days 08:35:00,7 days 06:09:00,28,161,15.761044824250241,14.814814814814815
180,1 days 02:05:00,6 days 05:52:00,19,118,14.824287202803827,13.86861313868613
14/37,1 days 00:49:00,6 days 01:02:00,17,107,14.610931213816112,13.709677419354838
66,0 days 20:16:00,5 days 00:32:00,18,110,14.393939393939394,14.0625
81,0 days 22:22:00,6 days 01:49:00,13,92,13.298979288474879,12.380952380952381
76,0 days 13:12:00,3 days 22:17:00,10,78,12.280973794386727,11.363636363636363
240,0 days 17:55:00,5 days 08:54:00,15,104,12.203428311953683,12.605042016806722
60,1 days 07:47:00,9 days 19:57:00,22,165,11.871264940239044,11.764705882352942
150,0 days 05:13:00,1 days 15:36:00,6,56,11.640014875418371,9.67741935483871
754,0 days 12:20:00,4 days 06:49:00,12,102,10.710667245621654,10.526315789473685
158,0 days 03:26:00,1 days 05:27:00,3,27,10.440952863659401,10.0
105,0 days 19:12:00,6 days 23:11:00,13,124,10.301350263793257,9.489051094890511
204,0 days 21:31:00,7 days 23:34:00,17,164,10.097770825185764,9.392265193370166
53,0 days 16:32:00,6 days 03:24:00,13,112,10.085400569337128,10.4
28,0 days 14:49:00,5 days 15:58:00,14,123,9.826461810544933,10.218978102189782
233,0 days 16:49:00,6 days 11:25:00,16,149,9.763886200890266,9.696969696969697
230,0 days 03:33:00,1 days 09:03:00,4,37,9.699453551912569,9.75609756097561
260,0 days 13:28:00,5 days 10:36:00,8,76,9.34752429430819,9.523809523809524
78,0 days 11:04:00,4 days 13:49:00,12,104,9.154832483110438,10.344827586206897
128,0 days 03:00:00,1 days 07:01:00,3,30,8.81920627143557,9.090909090909092
207,0 days 20:34:00,9 days 01:25:00,17,190,8.642061769031445,8.21256038647343
232,0 days 09:04:00,4 days 05:26:00,5,60,8.205128205128204,7.6923076923076925
224/690,0 days 06:58:00,3 days 09:50:00,7,85,7.845345345345345,7.608695652173913
720,0 days 21:49:00,11 days 01:47:00,17,224,7.585767269355586,7.053941908713693
115,0 days 10:13:00,5 days 09:49:00,6,79,7.295881932873125,7.0588235294117645
251,0 days 15:36:00,8 days 13:30:00,13,175,7.055630936227951,6.914893617021277
210,0 days 15:40:00,8 days 17:39:00,10,146,6.953177010133886,6.410256410256411
267,0 days 01:25:00,0 days 18:59:00,2,26,6.944444444444445,7.142857142857143
761,0 days 07:25:00,4 days 14:54:00,4,62,6.26848851950979,6.0606060606060606
166,0 days 03:43:00,2 days 07:58:00,4,63,6.22731080703714,5.970149253731344
Metro J Line (Silver) 910/950,0 days 09:39:00,6 days 05:47:00,10,131,6.052686598369224,7.092198581560283
165,0 days 05:10:00,3 days 10:06:00,4,62,5.9205500381970975,6.0606060606060606
33,0 days 14:45:00,10 days 02:07:00,9,165,5.742278743835972,5.172413793103448
242/243,0 days 02:11:00,1 days 11:53:00,5,79,5.735551663747811,5.9523809523809526
30,0 days 09:08:00,6 days 16:02:00,9,170,5.399014778325123,5.027932960893855
162,0 days 05:35:00,4 days 06:10:00,4,78,5.181747873163187,4.878048780487805
