Route,Service Hours Canceled,Service Hours Run,Trips Canceled,Trips Run,Percent of Service Hours Canceled,Percent of Trips Canceled
206,2 days 23:32:00,1 days 12:23:00,60,31,66.28571428571429,65.93406593406593
210,7 days 02:44:00,3 days 20:04:00,118,63,64.96702181633688,65.19337016574586
111,3 days 19:53:00,3 days 04:23:00,70,58,54.60578446909667,54.6875
207,5 days 07:52:00,4 days 14:07:00,110,97,53.72925274879193,53.14009661835749
617,0 days 12:45:00,0 days 12:18:00,20,19,50.89820359281437,51.282051282051285
81,3 days 11:37:00,3 days 12:34:00,49,56,49.717570111980976,46.666666666666664
204,4 days 06:39:00,4 days 14:26:00,87,94,48.173640985529914,48.06629834254144
260,2 days 19:18:00,3 days 04:46:00,39,45,46.7144840351689,46.42857142857143
754,2 days 10:50:00,2 days 19:27:00,59,66,46.588359509040515,47.2
70,4 days 14:42:00,5 days 10:10:00,85,99,45.959036811513975,46.19565217391305
217,2 days 13:55:00,3 days 02:11:00,63,78,45.49350967425912,44.680851063829785
94,2 days 00:26:00,2 days 11:52:00,36,44,44.72145275469375,45.0
720,5 days 06:36:00,6 days 17:00:00,107,134,44.01947148817803,44.398340248962654
10/48,2 days 01:28:00,2 days 17:55:00,38,49,42.871587462082914,43.67816091954023
45,4 days 00:44:00,5 days 09:32:00,77,105,42.751915144372425,42.30769230769231
14/37,3 days 00:08:00,4 days 01:43:00,52,72,42.46884505936611,41.935483870967744
55,1 days 15:51:00,2 days 09:48:00,37,58,40.809011776753714,38.94736842105263
108,2 days 22:03:00,4 days 05:49:00,50,70,40.75833979829325,41.666666666666664
18,4 days 13:37:00,7 days 02:09:00,95,150,39.181460741093765,38.775510204081634
16,3 days 21:45:00,6 days 02:31:00,93,146,39.01914539400666,38.91213389121339
66,2 days 06:53:00,3 days 13:55:00,49,79,38.97964015151515,38.28125
78,1 days 20:28:00,3 days 04:25:00,41,75,36.784778712256994,35.3448275862069
152,1 days 23:29:00,3 days 11:11:00,36,65,36.339285714285715,35.64356435643565
51,3 days 01:02:00,5 days 13:42:00,70,119,35.32731376975169,37.03703703703704
240,2 days 14:32:00,5 days 03:43:00,47,102,33.57494407158837,31.543624161073826
30,2 days 08:27:00,4 days 16:43:00,58,121,33.36945812807882,32.402234636871505
60,3 days 15:38:00,7 days 12:06:00,60,127,32.73157370517928,32.0855614973262
33,3 days 21:00:00,8 days 00:48:00,62,130,32.540237928621416,32.291666666666664
251,2 days 23:33:00,6 days 05:33:00,57,131,32.36092265943012,30.319148936170212
166,0 days 18:45:00,1 days 16:56:00,21,46,31.415805640882436,31.34328358208955
35/38,1 days 03:00:00,2 days 11:00:00,33,66,31.3953488372093,33.333333333333336
2,4 days 03:54:00,9 days 08:06:00,59,135,30.833333333333332,30.412371134020617
20,2 days 06:21:00,5 days 05:02:00,47,108,30.298243984019326,30.322580645161292
105,2 days 07:36:00,5 days 10:47:00,38,99,29.830993472234642,27.73722627737226
76,1 days 10:46:00,3 days 10:45:00,28,68,29.58445610551695,29.166666666666668
40,3 days 03:44:00,7 days 14:00:00,40,105,29.384376616658045,27.586206896551722
242/243,0 days 10:33:00,1 days 03:31:00,24,60,27.714535901926446,28.571428571428573
180,2 days 09:53:00,6 days 09:13:00,46,116,27.419864203379124,28.395061728395063
4,4 days 02:27:00,11 days 10:05:00,60,166,26.427165354330707,26.548672566371682
53,1 days 19:11:00,5 days 00:45:00,33,92,26.342008946726313,26.4
28,1 days 21:13:00,5 days 07:08:00,39,117,26.235373754956,25.0
690,0 days 14:21:00,1 days 20:58:00,16,54,24.19218881708345,22.857142857142858
162,1 days 00:22:00,3 days 11:24:00,18,64,22.610578410145376,21.951219512195124
110,0 days 20:32:00,2 days 23:22:00,14,48,22.343126586869786,22.580645161290324
233,1 days 14:22:00,5 days 13:52:00,38,127,22.275982194697118,23.03030303030303
266,0 days 21:27:00,3 days 07:51:00,14,54,21.17472852912142,20.58823529411765
224/690,0 days 20:53:00,3 days 13:03:00,21,89,19.7136563876652,19.09090909090909
294,0 days 10:45:00,1 days 21:54:00,13,57,18.976169461606354,18.571428571428573
90,0 days 21:20:00,4 days 00:44:00,13,53,18.068887634105025,19.696969696969695
106,0 days 13:39:00,2 days 14:48:00,11,48,17.854807063440155,18.64406779661017
165,0 days 14:54:00,3 days 00:22:00,11,55,17.074102368220014,16.666666666666668
605,0 days 05:05:00,1 days 03:37:00,12,69,15.545361875637106,14.814814814814815
761,0 days 18:17:00,4 days 04:02:00,10,56,15.452880687420764,15.151515151515152
234,0 days 19:07:00,5 days 05:23:00,19,120,13.229527104959631,13.66906474820144
127,0 days 07:26:00,2 days 03:17:00,9,70,12.659665058189043,11.39240506329114
128,0 days 04:15:00,1 days 05:46:00,4,29,12.493875551200391,12.121212121212121
222,0 days 04:36:00,1 days 12:38:00,4,35,11.156022635408245,10.256410256410257
244,0 days 03:54:00,1 days 07:40:00,7,55,10.965323336457358,11.290322580645162
92,0 days 14:07:00,4 days 23:37:00,7,73,10.555832502492523,8.75
246,0 days 07:08:00,2 days 14:29:00,8,74,10.246588460617668,9.75609756097561
256,0 days 05:08:00,1 days 21:37:00,4,34,10.114942528735632,10.526315789473685
161,0 days 03:15:00,1 days 05:04:00,3,25,10.056730273336772,10.714285714285714
232,0 days 10:25:00,4 days 04:05:00,6,59,9.42684766214178,9.23076923076923
125,0 days 06:12:00,3 days 09:46:00,4,54,7.0481242895036,6.896551724137931
117,0 days 06:24:00,3 days 15:17:00,6,65,6.831524639743818,8.450704225352112
62,0 days 05:01:00,2 days 22:52:00,3,40,6.611025697342412,6.976744186046512
154,0 days 01:42:00,1 days 01:52:00,2,30,6.166868198307134,6.25
344,0 days 01:52:00,1 days 04:26:00,2,31,6.16061606160616,6.0606060606060606
Metro L Line (Gold) Shuttle 854,0 days 02:08:00,1 days 08:49:00,8,123,6.103958035288508,6.106870229007634
Metro G Line (Orange) 901,0 days 09:46:00,6 days 16:46:00,12,206,5.727130570758405,5.504587155963303
155,0 days 03:02:00,2 days 03:11:00,2,34,5.5948355364279125,5.555555555555555
150,0 days 03:21:00,2 days 10:58:00,4,79,5.375768922171703,4.819277108433735
115,0 days 07:28:00,5 days 12:34:00,5,80,5.332063794334682,5.882352941176471
182,0 days 02:49:00,2 days 09:56:00,3,56,4.636488340192044,5.084745762711864
164,0 days 03:42:00,3 days 10:55:00,3,62,4.271695208774293,4.615384615384615
120,0 days 02:00:00,2 days 20:17:00,1,37,2.8456248517903724,2.6315789473684212
268,0 days 00:37:00,0 days 21:10:00,1,30,2.8309104820198927,3.225806451612903
602,0 days 00:34:00,1 days 10:18:00,4,50,1.6252390057361377,7.407407407407407
460,0 days 01:48:00,5 days 15:17:00,1,69,1.3130699088145896,1.4285714285714286
236,0 days 00:00:00,1 days 07:44:00,0,32,0.0,0.0
230,0 days 00:00:00,1 days 20:55:00,0,50,0.0,0.0
218,0 days 00:00:00,0 days 23:37:00,0,36,0.0,0.0
205,0 days 00:00:00,2 days 22:11:00,0,41,0.0,0.0
212,0 days 00:00:00,6 days 04:55:00,0,126,0.0,0.0
167,0 days 00:00:00,2 days 10:07:00,0,41,0.0,0.0
665,0 days 00:00:00,0 days 09:48:00,0,28,0.0,0.0
169,0 days 00:00:00,1 days 16:05:00,0,26,0.0,0.0
96,0 days 00:00:00,1 days 02:13:00,0,32,0.0,0.0
Metro J Line (Silver) 910/950,0 days 00:00:00,6 days 15:26:00,0,141,0.0,0.0
686,0 days 00:00:00,0 days 11:26:00,0,32,0.0,0.0
237,0 days 00:00:00,2 days 07:45:00,0,36,0.0,0.0
662,0 days 00:00:00,2 days 13:04:00,0,64,0.0,0.0
267,0 days 00:00:00,1 days 12:40:00,0,50,0.0,0.0
287,0 days 00:00:00,0 days 12:44:00,0,34,0.0,0.0
487,0 days 00:00:00,1 days 07:53:00,0,40,0.0,0.0
501,0 days 00:00:00,1 days 13:06:00,0,47,0.0,0.0
534,0 days 00:00:00,1 days 13:52:00,0,38,0.0,0.0
130,0 days 00:00:00,0 days 18:09:00,0,30,0.0,0.0
550,0 days 00:00:00,0 days 20:14:00,0,34,0.0,0.0
601,0 days 00:00:00,0 days 22:59:00,0,114,0.0,0.0
660,0 days 00:00:00,1 days 02:11:00,0,75,0.0,0.0
603,0 days 00:00:00,5 days 12:08:00,0,123,0.0,0.0
265,0 days 00:00:00,1 days 04:09:00,0,26,0.0,0.0
611,0 days 00:00:00,1 days 17:09:00,0,36,0.0,0.0
258,0 days 00:00:00,2 days 00:42:00,0,29,0.0,0.0
102,0 days 00:00:00,2 days 13:49:00,0,53,0.0,0.0
158,0 days 00:00:00,1 days 08:53:00,0,30,0.0,0.0
179,0 days 00:00:00,1 days 19:54:00,0,69,0.0,0.0
