Route,Service Hours Canceled,Service Hours Run,Trips Canceled,Trips Run,Percent of Service Hours Canceled,Percent of Trips Canceled
754,2 days 12:22:00,4 days 21:01:00,57,107,34.031757962980365,34.75609756097561
166,1 days 11:13:00,3 days 11:32:00,37,90,29.656140350877195,29.133858267716537
55,1 days 13:46:00,5 days 08:21:00,32,116,22.735025584428616,21.62162162162162
204,2 days 11:19:00,8 days 18:55:00,45,169,21.95016652275811,21.02803738317757
51,3 days 04:01:00,11 days 07:12:00,62,238,21.893150290404648,20.666666666666668
720,4 days 02:20:00,15 days 06:28:00,78,279,21.156052782558806,21.84873949579832
210,2 days 10:11:00,9 days 08:27:00,38,150,20.586154027597594,20.21276595744681
206,1 days 08:47:00,5 days 06:33:00,26,103,20.57531380753138,20.155038759689923
2,3 days 05:39:00,14 days 04:35:00,44,200,18.566191121383596,18.0327868852459
230,0 days 12:54:00,2 days 09:57:00,15,67,18.207480592801694,18.29268292682927
53,1 days 18:51:00,8 days 10:09:00,32,149,17.489795918367346,17.679558011049725
240,1 days 20:09:00,9 days 05:36:00,32,175,16.613358419567263,15.458937198067632
111,1 days 23:49:00,10 days 00:42:00,32,165,16.573277107041765,16.243654822335024
18,2 days 06:21:00,11 days 22:49:00,45,243,15.930630190522717,15.625
233,1 days 10:26:00,7 days 15:37:00,31,170,15.791485133379194,15.422885572139304
162,1 days 06:15:00,7 days 06:00:00,20,123,14.810281517747859,13.986013986013987
20,1 days 07:21:00,8 days 01:37:00,24,156,13.93539783671655,13.333333333333334
16,1 days 19:21:00,11 days 11:06:00,41,260,13.612812058407913,13.621262458471762
10/48,0 days 23:31:00,6 days 06:37:00,19,115,13.504977029096478,14.17910447761194
224/690,0 days 18:40:00,5 days 01:58:00,18,121,13.273287508888362,12.949640287769784
164,0 days 23:03:00,6 days 13:25:00,16,109,12.77244181751016,12.8
152,1 days 00:41:00,7 days 00:38:00,17,122,12.768342098456763,12.23021582733813
242/243,0 days 05:24:00,1 days 15:19:00,12,84,12.07603428997391,12.5
30,1 days 02:34:00,8 days 03:23:00,27,201,11.969662836975294,11.842105263157896
260,1 days 04:17:00,9 days 01:38:00,17,123,11.501186038630973,12.142857142857142
180,1 days 07:56:00,10 days 07:08:00,22,183,11.442904921165791,10.731707317073171
Metro G Line (Orange) 901,1 days 01:08:00,8 days 07:49:00,31,249,11.172853226642959,11.071428571428571
45,1 days 07:08:00,10 days 09:26:00,25,188,11.096590234050137,11.737089201877934
14/37,1 days 01:45:00,8 days 14:48:00,17,141,11.072887551064287,10.759493670886076
Metro J Line (Silver) 910/950,1 days 10:34:00,11 days 22:51:00,32,255,10.754472387866217,11.149825783972126
94,0 days 18:33:00,6 days 21:21:00,13,115,10.087003806416531,10.15625
234,0 days 20:57:00,8 days 01:43:00,19,180,9.759316770186336,9.547738693467336
28,1 days 00:19:00,9 days 18:32:00,21,198,9.394114995814823,9.58904109589041
150,0 days 08:00:00,3 days 07:30:00,9,103,9.142857142857142,8.035714285714286
115,0 days 21:08:00,8 days 23:36:00,13,130,8.92706279921149,9.090909090909092
266,0 days 14:08:00,6 days 01:48:00,9,90,8.837015423092955,9.090909090909092
90,0 days 17:33:00,7 days 13:14:00,9,92,8.828707973505491,8.910891089108912
81,0 days 18:28:00,8 days 05:45:00,11,120,8.540815539967625,8.396946564885496
70,1 days 06:42:00,13 days 18:54:00,22,233,8.49004424778761,8.627450980392156
165,0 days 15:53:00,7 days 04:18:00,11,122,8.440350721813834,8.270676691729323
761,0 days 18:32:00,8 days 20:23:00,10,113,8.025983399494768,8.130081300813009
40,1 days 07:25:00,15 days 01:40:00,18,191,7.992368030527878,8.61244019138756
4,1 days 18:04:00,20 days 06:50:00,25,265,7.953614419865129,8.620689655172415
207,1 days 04:46:00,14 days 00:53:00,22,270,7.867268334928666,7.534246575342466
205,0 days 10:10:00,4 days 23:11:00,5,63,7.859811879912383,7.352941176470588
236,0 days 05:01:00,2 days 13:26:00,5,61,7.549535991973915,7.575757575757576
161,0 days 03:29:00,1 days 21:17:00,3,39,7.142857142857143,7.142857142857143
78,0 days 14:27:00,7 days 21:35:00,15,176,7.082176115013887,7.853403141361256
108,0 days 19:16:00,11 days 17:26:00,14,191,6.407271921073052,6.829268292682927
92,0 days 11:39:00,7 days 03:57:00,7,104,6.345315904139434,6.306306306306307
60,0 days 22:14:00,13 days 18:00:00,18,246,6.31210371912558,6.818181818181818
76,0 days 09:52:00,6 days 14:23:00,7,121,5.864289252105002,5.46875
690,0 days 03:27:00,2 days 07:52:00,4,66,5.816240516999157,5.714285714285714
125,0 days 06:50:00,5 days 16:04:00,4,83,4.7818987637042225,4.597701149425287
66,0 days 11:16:00,9 days 10:38:00,10,194,4.735883424408015,4.901960784313726
35/38,0 days 05:23:00,4 days 13:52:00,6,124,4.671005061460593,4.615384615384615
294,0 days 02:31:00,2 days 09:25:00,3,68,4.199110122358176,4.225352112676056
534,0 days 01:55:00,1 days 20:27:00,2,45,4.133716750539181,4.25531914893617
217,0 days 08:08:00,7 days 23:55:00,8,195,4.065650254103141,3.9408866995073892
105,0 days 10:48:00,11 days 09:01:00,7,192,3.805273357214164,3.5175879396984926
602,0 days 01:28:00,1 days 14:56:00,2,58,3.6303630363036303,3.3333333333333335
232,0 days 05:54:00,6 days 20:21:00,3,93,3.465491923641703,3.125
222,0 days 02:22:00,2 days 18:36:00,2,70,3.431609473175447,2.7777777777777777
33,0 days 13:49:00,16 days 09:35:00,9,251,3.3914252986417934,3.4615384615384617
106,0 days 04:23:00,5 days 18:19:00,3,104,3.071712216771782,2.803738317757009
246,0 days 01:59:00,2 days 23:16:00,2,80,2.707622298065984,2.4390243902439024
