Route,Service Hours Canceled,Service Hours Run,Trips Canceled,Trips Run,Percent of Service Hours Canceled,Percent of Trips Canceled
754,4 days 22:30:00,2 days 10:53:00,110,54,66.80447242318895,67.07317073170732
207,7 days 14:01:00,7 days 15:38:00,140,152,49.77893249464424,47.945205479452056
81,3 days 11:26:00,5 days 12:45:00,48,83,38.59378613830854,36.6412213740458
111,4 days 10:21:00,7 days 14:10:00,72,125,36.86095546184507,36.54822335025381
240,4 days 00:55:00,7 days 00:50:00,74,133,36.46911257447476,35.7487922705314
206,2 days 08:45:00,4 days 06:35:00,45,84,35.61715481171548,34.883720930232556
115,3 days 10:37:00,6 days 10:07:00,50,93,34.89862010701211,34.96503496503497
166,1 days 17:15:00,3 days 05:30:00,44,83,34.73684210526316,34.645669291338585
217,2 days 21:12:00,5 days 10:51:00,67,136,34.59135216195951,33.004926108374384
108,4 days 02:27:00,8 days 10:15:00,66,139,32.74027269704024,32.19512195121951
158,0 days 13:47:00,1 days 04:57:00,11,23,32.25429017160686,32.35294117647059
20,2 days 21:32:00,6 days 11:26:00,55,125,30.908282708549415,30.555555555555557
45,3 days 10:33:00,8 days 06:01:00,62,151,29.422597124866343,29.107981220657276
117,2 days 08:09:00,5 days 14:58:00,37,92,29.379959884887068,28.68217054263566
40,4 days 15:53:00,11 days 17:12:00,60,149,28.46300614797541,28.708133971291865
210,3 days 04:00:00,8 days 14:38:00,50,138,26.8899634390848,26.595744680851062
53,2 days 17:41:00,7 days 11:19:00,48,133,26.80952380952381,26.519337016574585
150,0 days 22:50:00,2 days 16:40:00,34,78,26.095238095238095,30.357142857142858
165,2 days 00:44:00,5 days 19:27:00,35,98,25.89673191037109,26.31578947368421
601,0 days 05:51:00,0 days 17:35:00,28,86,24.964438122332858,24.56140350877193
204,2 days 18:34:00,8 days 11:40:00,52,162,24.63303318120143,24.299065420560748
152,1 days 22:00:00,6 days 03:19:00,32,107,23.795154754720233,23.02158273381295
16,3 days 02:45:00,10 days 03:42:00,70,231,23.473072695870624,23.25581395348837
30,2 days 02:50:00,7 days 03:07:00,51,177,22.903056243898774,22.36842105263158
244,0 days 09:08:00,1 days 06:55:00,16,54,22.80482729920932,22.857142857142858
35/38,1 days 01:56:00,3 days 17:19:00,33,97,22.50180766449747,25.384615384615383
Metro J Line (Silver) 910/950,3 days 00:15:00,10 days 09:10:00,65,222,22.4786103189007,22.64808362369338
10/48,1 days 14:44:00,5 days 15:24:00,31,103,22.243491577335377,23.134328358208954
234,1 days 23:29:00,6 days 23:11:00,42,157,22.119565217391305,21.105527638190956
232,1 days 13:31:00,5 days 12:44:00,21,75,22.0362212432697,21.875
162,1 days 20:28:00,6 days 15:47:00,30,113,21.770705834353326,20.97902097902098
18,3 days 02:14:00,11 days 02:56:00,63,225,21.75867122618466,21.875
28,2 days 07:05:00,8 days 11:46:00,46,173,21.280020603953382,21.004566210045663
66,2 days 02:29:00,7 days 19:25:00,44,160,21.22040072859745,21.568627450980394
14/37,2 days 01:19:00,7 days 15:14:00,33,125,21.206908908478464,20.88607594936709
233,1 days 19:52:00,7 days 06:11:00,39,162,20.117710005350453,19.402985074626866
Metro G Line (Orange) 901,1 days 20:51:00,7 days 12:06:00,56,224,19.9377639475439,20.0
251,2 days 05:34:00,8 days 23:43:00,45,177,19.892306740112645,20.27027027027027
266,1 days 07:40:00,5 days 08:16:00,20,79,19.79991663192997,20.2020202020202
51,2 days 19:36:00,11 days 15:37:00,59,241,19.46911150578409,19.666666666666668
92,1 days 11:30:00,6 days 04:06:00,19,92,19.335511982570807,17.117117117117118
205,1 days 00:44:00,4 days 08:37:00,13,55,19.121247261950778,19.11764705882353
161,0 days 09:15:00,1 days 15:31:00,8,34,18.967874231032127,19.047619047619047
222,0 days 12:24:00,2 days 08:34:00,11,61,17.979700338327696,15.277777777777779
164,1 days 07:15:00,6 days 05:13:00,21,104,17.31621721462874,16.8
180,1 days 23:22:00,9 days 15:42:00,34,171,16.97324414715719,16.585365853658537
2,2 days 22:04:00,14 days 12:10:00,43,201,16.75300868733562,17.62295081967213
94,1 days 05:53:00,6 days 10:01:00,20,108,16.249773427587456,15.625
154,0 days 04:39:00,0 days 23:58:00,5,27,16.24927198602213,15.625
617,0 days 05:44:00,1 days 05:51:00,9,40,16.11241217798595,18.367346938775512
125,0 days 21:46:00,5 days 01:08:00,13,74,15.2320970375554,14.942528735632184
224/690,0 days 21:21:00,4 days 23:17:00,21,118,15.181322588291064,15.107913669064748
90,1 days 06:04:00,7 days 00:43:00,15,86,15.12534585394483,14.851485148514852
60,2 days 05:15:00,12 days 10:59:00,41,223,15.117819627141099,15.530303030303031
