Route,Service Hours Canceled,Service Hours Run,Trips Canceled,Trips Run,Percent of Service Hours Canceled,Percent of Trips Canceled
76,1 days 12:02:00,2 days 23:27:00,29,59,33.524577453868815,32.95454545454545
20,2 days 02:36:00,4 days 14:55:00,43,97,31.328036322360955,30.714285714285715
125,1 days 00:40:00,2 days 15:18:00,16,42,28.040924592648732,27.586206896551722
66,1 days 13:21:00,4 days 07:27:00,34,94,26.526988636363637,26.5625
28,1 days 14:44:00,4 days 16:03:00,38,99,25.68807339449541,27.73722627737226
45,2 days 09:38:00,7 days 00:38:00,46,136,25.47142015321155,25.274725274725274
16,2 days 04:51:00,6 days 13:37:00,52,159,25.110864745011085,24.644549763033176
40,2 days 15:19:00,8 days 02:25:00,36,109,24.566735644076566,24.82758620689655
33,2 days 10:18:00,8 days 06:34:00,41,133,22.696600051907605,23.563218390804597
53,1 days 11:13:00,5 days 08:43:00,27,98,21.48230988206588,21.6
78,1 days 01:50:00,3 days 23:03:00,27,89,21.37046739280298,23.275862068965516
224/690,0 days 18:58:00,2 days 21:50:00,18,74,21.35885885885886,19.565217391304348
207,2 days 02:34:00,7 days 19:25:00,42,165,21.24798655368023,20.28985507246377
720,2 days 12:41:00,9 days 10:55:00,52,189,21.099907278627725,21.57676348547718
266,0 days 21:13:00,3 days 08:05:00,14,54,20.944389601842712,20.58823529411765
70,1 days 19:58:00,6 days 22:41:00,34,128,20.87190442281826,20.987654320987655
294,0 days 11:35:00,1 days 21:04:00,14,56,20.44719035010297,20.0
60,2 days 04:06:00,8 days 23:38:00,36,151,19.459661354581673,19.25133689839572
210,1 days 19:43:00,7 days 13:36:00,29,127,19.402322657001257,18.58974358974359
204,1 days 16:42:00,7 days 04:23:00,32,149,19.100508408290967,17.679558011049725
603,1 days 00:05:00,4 days 12:03:00,22,101,18.226538849646822,17.88617886178862
14/37,1 days 05:55:00,5 days 19:56:00,21,103,17.61358061034246,16.93548387096774
Metro J Line (Silver) 910/950,1 days 03:20:00,5 days 12:06:00,26,115,17.144051850303157,18.43971631205674
234,1 days 00:37:00,4 days 23:53:00,23,116,17.035755478662054,16.546762589928058
251,1 days 13:19:00,7 days 15:47:00,33,155,16.87773254937434,17.5531914893617
256,0 days 08:13:00,1 days 18:32:00,6,32,16.19047619047619,15.789473684210526
111,1 days 02:55:00,5 days 21:21:00,20,108,15.996434231378764,15.625
90,0 days 18:47:00,4 days 03:17:00,10,56,15.909090909090908,15.151515151515152
18,1 days 20:27:00,9 days 19:19:00,38,207,15.888240200166805,15.510204081632653
2,1 days 19:38:00,9 days 20:43:00,25,144,15.5638784852268,14.792899408284024
180,1 days 03:18:00,6 days 04:39:00,21,116,15.515771526001705,15.328467153284672
205,0 days 10:53:00,2 days 11:18:00,6,35,15.507005461885537,14.634146341463415
106,0 days 11:39:00,2 days 16:50:00,9,50,15.232076705164523,15.254237288135593
754,0 days 17:01:00,4 days 02:08:00,17,97,14.777826024026632,14.912280701754385
115,0 days 20:03:00,4 days 23:59:00,12,73,14.318019519162105,14.117647058823529
4,1 days 22:10:00,11 days 20:02:00,28,174,13.981425398748234,13.861386138613861
162,0 days 14:03:00,3 days 21:42:00,10,72,13.039443155452437,12.195121951219512
233,0 days 21:52:00,6 days 06:22:00,21,144,12.69595509967099,12.727272727272727
260,0 days 18:10:00,5 days 05:54:00,11,73,12.609902822767237,13.095238095238095
154,0 days 03:28:00,1 days 00:06:00,4,28,12.575574365175333,12.5
128,0 days 04:05:00,1 days 05:56:00,4,29,12.003919647231749,12.121212121212121
240,0 days 17:37:00,5 days 09:12:00,14,105,11.999091837893063,11.764705882352942
