Route,Service Hours Canceled,Service Hours Run,Trips Canceled,Trips Run,Percent of Service Hours Canceled,Percent of Trips Canceled
30,1 days 08:35:00,5 days 16:35:00,33,146,19.261083743842363,18.435754189944134
603,1 days 04:04:00,6 days 00:11:00,25,131,16.29414610546686,16.025641025641026
33,1 days 16:00:00,9 days 00:52:00,27,147,15.572281339216195,15.517241379310345
81,1 days 00:45:00,5 days 23:26:00,16,89,14.716083638886136,15.238095238095237
720,1 days 15:21:00,10 days 08:15:00,32,209,13.68219749652295,13.278008298755188
130,0 days 02:16:00,0 days 15:53:00,4,26,12.488521579430671,13.333333333333334
125,0 days 10:13:00,3 days 05:45:00,7,51,11.614247821144373,12.068965517241379
45,1 days 00:15:00,8 days 10:01:00,19,163,10.717442545668828,10.43956043956044
210,0 days 23:28:00,8 days 09:51:00,16,140,10.414971521562245,10.256410256410257
605,0 days 02:57:00,1 days 05:45:00,7,74,9.021406727828746,8.641975308641975
53,0 days 14:10:00,6 days 05:46:00,11,114,8.641724278161854,8.8
35/38,0 days 07:25:00,3 days 06:35:00,7,92,8.624031007751938,7.070707070707071
14/37,0 days 14:30:00,6 days 11:21:00,10,114,8.536944362672946,8.064516129032258
251,0 days 18:11:00,8 days 10:55:00,15,173,8.224031358359717,7.9787234042553195
16,0 days 16:14:00,8 days 02:17:00,16,195,7.711186762726625,7.5829383886255926
207,0 days 18:18:00,9 days 03:41:00,16,191,7.689614118635759,7.729468599033816
117,0 days 07:09:00,3 days 17:09:00,5,66,7.4247144340602285,7.042253521126761
601,0 days 01:39:00,0 days 21:20:00,8,106,7.179115300942712,7.017543859649122
204,0 days 15:17:00,8 days 05:48:00,12,169,7.172467735627689,6.629834254143646
180,0 days 12:18:00,6 days 19:39:00,9,128,6.990622335890878,6.569343065693431
206,0 days 05:03:00,3 days 02:34:00,5,63,6.34289302909776,7.352941176470588
66,0 days 08:43:00,5 days 12:05:00,8,120,6.190814393939394,6.25
40,0 days 13:06:00,10 days 04:38:00,7,138,5.08277289187791,4.827586206896552
164,0 days 04:22:00,3 days 10:15:00,3,62,5.041370021166057,4.615384615384615
4,0 days 16:27:00,13 days 01:45:00,11,191,4.98182919442762,5.445544554455446
10/48,0 days 05:43:00,4 days 13:40:00,5,82,4.954499494438827,5.747126436781609
266,0 days 04:31:00,4 days 00:47:00,3,65,4.458703520895031,4.411764705882353
94,0 days 04:22:00,3 days 23:11:00,3,71,4.386405491377867,4.054054054054054
115,0 days 05:25:00,5 days 20:34:00,3,87,3.710469231647448,3.3333333333333335
217,0 days 04:57:00,5 days 11:09:00,5,136,3.6370315944158707,3.5460992907801416
111,0 days 05:33:00,6 days 21:12:00,4,126,3.2503660322108345,3.076923076923077
152,0 days 02:47:00,3 days 20:41:00,2,72,2.9155027932960893,2.7027027027027026
246,0 days 01:16:00,1 days 18:32:00,2,52,2.8919330289193304,3.7037037037037037
222,0 days 01:08:00,1 days 16:06:00,1,38,2.7485852869846403,2.5641025641025643
28,0 days 03:57:00,6 days 02:50:00,4,133,2.6196529236210897,2.9197080291970803
108,0 days 04:13:00,7 days 01:21:00,3,117,2.4294219320145958,2.5
242/243,0 days 00:55:00,1 days 13:09:00,2,82,2.408056042031524,2.380952380952381
92,0 days 02:02:00,4 days 08:24:00,1,64,1.9104290635765737,1.5384615384615385
460,0 days 01:43:00,4 days 01:19:00,1,50,1.733423089868731,1.9607843137254901
233,0 days 01:46:00,7 days 02:28:00,2,163,1.0257402748209792,1.2121212121212122
754,0 days 00:54:00,4 days 18:15:00,1,113,0.7815892314372558,0.8771929824561403
60,0 days 01:25:00,11 days 06:55:00,1,186,0.5201958384332925,0.5347593582887701
55,0 days 00:00:00,3 days 17:22:00,0,87,0.0,0.0
534,0 days 00:00:00,1 days 07:54:00,0,32,0.0,0.0
120,0 days 00:00:00,2 days 22:17:00,0,38,0.0,0.0
51,0 days 00:00:00,11 days 03:32:00,0,242,0.0,0.0
602,0 days 00:00:00,1 days 04:48:00,0,46,0.0,0.0
501,0 days 00:00:00,1 days 13:06:00,0,47,0.0,0.0
110,0 days 00:00:00,3 days 18:10:00,0,62,0.0,0.0
487,0 days 00:00:00,1 days 00:34:00,0,31,0.0,0.0
611,0 days 00:00:00,1 days 17:09:00,0,36,0.0,0.0
550,0 days 00:00:00,0 days 20:14:00,0,34,0.0,0.0
167,0 days 00:00:00,2 days 10:07:00,0,41,0.0,0.0
617,0 days 00:00:00,1 days 01:03:00,0,39,0.0,0.0
62,0 days 00:00:00,2 days 22:35:00,0,40,0.0,0.0
Metro J Line (Silver) 910/950,0 days 00:00:00,6 days 15:26:00,0,141,0.0,0.0
Metro G Line (Orange) 901,0 days 00:00:00,7 days 02:32:00,0,218,0.0,0.0
96,0 days 00:00:00,1 days 02:13:00,0,32,0.0,0.0
90,0 days 00:00:00,4 days 23:06:00,0,66,0.0,0.0
105,0 days 00:00:00,7 days 18:24:00,0,137,0.0,0.0
78,0 days 00:00:00,5 days 00:53:00,0,116,0.0,0.0
761,0 days 00:00:00,4 days 22:19:00,0,66,0.0,0.0
76,0 days 00:00:00,4 days 11:29:00,0,88,0.0,0.0
106,0 days 00:00:00,3 days 04:27:00,0,59,0.0,0.0
70,0 days 00:00:00,8 days 18:39:00,0,162,0.0,0.0
690,0 days 00:00:00,1 days 11:35:00,0,42,0.0,0.0
686,0 days 00:00:00,0 days 11:26:00,0,32,0.0,0.0
665,0 days 00:00:00,0 days 09:48:00,0,28,0.0,0.0
662,0 days 00:00:00,1 days 17:15:00,0,44,0.0,0.0
127,0 days 00:00:00,1 days 20:18:00,0,47,0.0,0.0
660,0 days 00:00:00,1 days 02:16:00,0,75,0.0,0.0
