Route,Service Hours Canceled,Service Hours Run,Trips Canceled,Trips Run,Percent of Service Hours Canceled,Percent of Trips Canceled
205,0 days 22:22:00,4 days 10:59:00,11,57,17.29158613580724,16.176470588235293
605,0 days 06:55:00,1 days 16:26:00,15,95,14.607532558958113,13.636363636363637
577,0 days 06:22:00,2 days 03:36:00,6,50,10.983323749281196,10.714285714285714
125,0 days 14:42:00,5 days 08:12:00,9,78,10.286913925822253,10.344827586206897
53,0 days 19:31:00,8 days 08:07:00,15,147,8.886022158142358,9.25925925925926
128,0 days 03:04:00,1 days 07:56:00,3,30,8.761904761904763,9.090909090909092
40,1 days 06:03:00,13 days 08:51:00,15,173,8.563693359931605,7.9787234042553195
20,0 days 14:33:00,7 days 12:53:00,12,145,7.444994030359884,7.643312101910828
18,0 days 21:36:00,12 days 02:44:00,19,244,6.915688367129135,7.224334600760456
28,0 days 14:19:00,8 days 06:30:00,11,168,6.727230010180907,6.145251396648045
266,0 days 10:33:00,6 days 05:23:00,6,93,6.596498541058774,6.0606060606060606
35/38,0 days 07:00:00,4 days 12:15:00,11,119,6.073752711496746,8.461538461538462
603,0 days 12:05:00,7 days 21:16:00,10,146,6.001158844466517,6.410256410256411
534,0 days 01:58:00,1 days 12:41:00,2,37,5.088400172488141,5.128205128205129
30,0 days 10:00:00,7 days 18:48:00,10,192,5.08130081300813,4.9504950495049505
Metro J Line (Silver) 910/950,0 days 11:46:00,10 days 01:06:00,10,218,4.653308726601635,4.385964912280702
111,0 days 11:28:00,9 days 22:46:00,9,162,4.5823897695484215,5.2631578947368425
761,0 days 07:06:00,7 days 03:51:00,4,92,3.967588711930707,4.166666666666667
115,0 days 08:31:00,8 days 14:57:00,5,125,3.952660891089109,3.8461538461538463
720,0 days 16:27:00,16 days 20:44:00,13,309,3.9056626172292352,4.037267080745342
70,0 days 10:15:00,11 days 12:37:00,7,197,3.5730885428770627,3.4313725490196076
4,0 days 14:52:00,16 days 20:05:00,8,224,3.548553924493774,3.4482758620689653
33,0 days 11:22:00,13 days 04:25:00,7,204,3.46773783495195,3.3175355450236967
14/37,0 days 07:44:00,9 days 01:44:00,5,148,3.4299231224127733,3.2679738562091503
204,0 days 07:58:00,9 days 11:49:00,6,182,3.3788082278928395,3.1914893617021276
16,0 days 09:39:00,11 days 17:05:00,8,267,3.319192845677597,2.909090909090909
166,0 days 03:00:00,3 days 23:42:00,3,103,3.0395136778115504,2.830188679245283
66,0 days 06:04:00,8 days 04:29:00,5,169,2.99514523163005,2.8735632183908044
177,0 days 00:25:00,0 days 13:59:00,1,31,2.8935185185185186,3.125
550,0 days 01:00:00,1 days 09:49:00,1,37,2.8721876495931067,2.6315789473684212
102,0 days 01:27:00,2 days 06:19:00,1,39,2.6001195457262405,2.5
501,0 days 01:39:00,2 days 21:29:00,2,80,2.3195876288659796,2.4390243902439024
117,0 days 03:08:00,6 days 02:26:00,2,100,2.0949409404947628,1.9607843137254901
45,0 days 04:51:00,10 days 10:23:00,4,190,1.9002220190675199,2.0618556701030926
90,0 days 02:13:00,5 days 08:04:00,1,67,1.701419982090316,1.4705882352941178
210,0 days 04:22:00,10 days 19:25:00,3,173,1.6553990017059454,1.7045454545454546
