Route,Service Hours Canceled,Service Hours Run,Trips Canceled,Trips Run,Percent of Service Hours Canceled,Percent of Trips Canceled
240,2 days 22:56:00,8 days 02:49:00,53,154,26.691752900595798,25.603864734299517
754,1 days 15:55:00,5 days 17:28:00,38,126,22.503053650286574,23.170731707317074
Metro J Line (Silver) 910/950,2 days 21:11:00,10 days 12:14:00,62,225,21.524500907441016,21.60278745644599
76,1 days 10:39:00,5 days 13:36:00,26,102,20.59435364041605,20.3125
210,2 days 06:48:00,9 days 11:50:00,36,152,19.389078900813775,19.148936170212767
20,1 days 19:00:00,7 days 13:58:00,33,147,19.11394280634168,18.333333333333332
53,1 days 21:13:00,8 days 07:47:00,33,148,18.45578231292517,18.23204419889503
230,0 days 12:32:00,2 days 10:19:00,15,67,17.689955304634204,18.29268292682927
28,1 days 19:11:00,8 days 23:40:00,37,182,16.682763505247568,16.894977168949772
617,0 days 05:54:00,1 days 05:41:00,9,40,16.5807962529274,18.367346938775512
207,2 days 10:53:00,12 days 18:46:00,46,246,16.10374219426592,15.753424657534246
204,1 days 19:26:00,9 days 10:48:00,33,181,16.072529912421363,15.42056074766355
111,1 days 20:43:00,10 days 03:48:00,31,166,15.498815781872798,15.736040609137056
162,1 days 07:23:00,7 days 04:52:00,21,122,15.365157078743371,14.685314685314685
150,0 days 13:07:00,3 days 02:23:00,15,97,14.99047619047619,13.392857142857142
166,0 days 17:42:00,4 days 05:03:00,19,108,14.905263157894737,14.960629921259843
152,1 days 04:22:00,6 days 20:57:00,20,119,14.673678765410811,14.388489208633093
244,0 days 05:49:00,1 days 10:47:00,10,61,14.326765188834154,14.084507042253522
55,0 days 23:21:00,5 days 22:46:00,20,128,14.056386074044346,13.513513513513514
164,1 days 01:06:00,6 days 11:22:00,17,108,13.908385666789805,13.6
45,1 days 14:42:00,10 days 01:52:00,28,185,13.793513128192943,13.145539906103286
Metro G Line (Orange) 901,1 days 06:59:00,8 days 01:58:00,38,242,13.773431132844335,13.571428571428571
18,1 days 21:29:00,12 days 07:41:00,39,249,13.33170493404983,13.541666666666666
206,0 days 20:44:00,5 days 18:36:00,16,113,13.01255230125523,12.4031007751938
70,1 days 22:21:00,13 days 03:15:00,34,221,12.818030973451327,13.333333333333334
40,2 days 02:10:00,14 days 06:55:00,25,184,12.762348950604197,11.961722488038278
690,0 days 07:34:00,2 days 03:45:00,9,61,12.756392245012645,12.857142857142858
720,2 days 11:13:00,16 days 21:35:00,45,312,12.740246701090074,12.605042016806722
2,2 days 02:58:00,15 days 07:16:00,29,215,12.18617996333785,11.885245901639344
108,1 days 10:43:00,11 days 01:59:00,24,181,11.5452832280235,11.707317073170731
78,0 days 22:37:00,7 days 13:25:00,22,169,11.084790066982519,11.518324607329843
577,0 days 06:11:00,2 days 03:47:00,6,50,10.667050028752156,10.714285714285714
30,0 days 23:24:00,8 days 06:33:00,23,205,10.542915070961929,10.087719298245615
218,0 days 02:27:00,0 days 22:24:00,4,34,9.859154929577464,10.526315789473685
33,1 days 13:41:00,15 days 09:43:00,25,235,9.24971363115693,9.615384615384615
16,1 days 05:16:00,12 days 01:11:00,28,273,9.190349086722144,9.30232558139535
266,0 days 14:34:00,6 days 01:22:00,9,90,9.107961650687786,9.090909090909092
60,1 days 06:43:00,13 days 09:31:00,24,240,8.720545093214724,9.090909090909092
260,0 days 20:54:00,9 days 09:01:00,13,127,8.498813961369027,9.285714285714286
165,0 days 15:32:00,7 days 04:39:00,11,122,8.254361881144273,8.270676691729323
222,0 days 05:30:00,2 days 15:28:00,5,67,7.974867085548574,6.944444444444445
81,0 days 16:26:00,8 days 07:45:00,9,122,7.601572739187418,6.870229007633588
4,1 days 15:05:00,20 days 09:49:00,23,267,7.389550639692444,7.931034482758621
251,0 days 19:41:00,10 days 09:36:00,16,206,7.309525283159002,7.207207207207207
761,0 days 16:35:00,8 days 22:20:00,9,114,7.181522915914832,7.317073170731708
233,0 days 15:16:00,8 days 10:47:00,15,186,7.001452266299778,7.462686567164179
232,0 days 11:11:00,6 days 15:04:00,6,90,6.568771414586393,6.25
234,0 days 13:38:00,8 days 09:02:00,13,186,6.350931677018633,6.532663316582915
205,0 days 08:09:00,5 days 01:12:00,4,64,6.300734441437959,5.882352941176471
92,0 days 11:23:00,7 days 04:13:00,6,105,6.200072621641249,5.405405405405405
242/243,0 days 02:42:00,1 days 18:01:00,6,90,6.038017144986955,6.25
224/690,0 days 08:24:00,5 days 12:14:00,8,131,5.972979378999763,5.755395683453237
51,0 days 20:33:00,13 days 14:40:00,18,282,5.918494695915134,6.0
90,0 days 10:55:00,7 days 19:52:00,6,95,5.491741427014337,5.9405940594059405
10/48,0 days 08:57:00,6 days 21:11:00,8,126,5.139739663093415,5.970149253731344
217,0 days 10:09:00,7 days 21:54:00,11,192,5.073731567108223,5.41871921182266
256,0 days 02:39:00,2 days 03:25:00,2,39,4.901356350184956,4.878048780487805
35/38,0 days 04:51:00,4 days 14:24:00,4,126,4.20824295010846,3.076923076923077
66,0 days 09:49:00,9 days 12:05:00,9,195,4.126383634580356,4.411764705882353
94,0 days 07:35:00,7 days 08:19:00,5,123,4.123617908283488,3.90625
14/37,0 days 08:40:00,9 days 07:53:00,6,152,3.7267971045653265,3.7974683544303796
605,0 days 01:44:00,1 days 21:37:00,4,106,3.6606828581485393,3.6363636363636362
115,0 days 08:30:00,9 days 12:14:00,5,138,3.5905378766544636,3.4965034965034967
267,0 days 01:28:00,1 days 16:24:00,2,55,3.5031847133757963,3.508771929824561
180,0 days 09:42:00,11 days 05:22:00,7,198,3.4758719541328236,3.4146341463414633
