Route,Service Hours Canceled,Service Hours Run,Trips Canceled,Trips Run,Percent of Service Hours Canceled,Percent of Trips Canceled
754,1 days 03:44:00,3 days 15:25:00,27,87,24.084527427992473,23.68421052631579
40,2 days 12:57:00,8 days 04:47:00,33,112,23.648473874806,22.75862068965517
617,0 days 05:43:00,0 days 19:20:00,9,30,22.821024617431803,23.076923076923077
207,2 days 06:07:00,7 days 15:52:00,46,161,22.739687653197002,22.22222222222222
14/37,1 days 12:27:00,5 days 13:24:00,26,98,21.46011186340889,20.967741935483872
720,2 days 13:18:00,9 days 10:18:00,50,191,21.31432545201669,20.74688796680498
222,0 days 07:41:00,1 days 09:33:00,7,32,18.633791430881164,17.94871794871795
230,0 days 06:36:00,1 days 06:00:00,8,33,18.0327868852459,19.51219512195122
20,1 days 04:28:00,5 days 13:03:00,24,116,17.624600144463937,17.142857142857142
90,0 days 19:52:00,4 days 02:12:00,11,55,16.826651609260306,16.666666666666668
111,1 days 04:12:00,5 days 20:04:00,20,108,16.759112519809825,15.625
10/48,0 days 19:02:00,4 days 00:21:00,14,73,16.495738841542686,16.091954022988507
35/38,0 days 14:00:00,3 days 00:00:00,19,80,16.27906976744186,19.19191919191919
28,1 days 00:32:00,5 days 06:15:00,24,113,16.270586934895544,17.51824817518248
232,0 days 17:44:00,3 days 20:46:00,10,55,16.048265460030166,15.384615384615385
210,1 days 08:21:00,8 days 00:58:00,22,134,14.357570826244544,14.102564102564102
115,0 days 20:06:00,4 days 23:56:00,12,73,14.353725303499166,14.117647058823529
224/690,0 days 11:50:00,3 days 04:58:00,13,79,13.325825825825826,14.130434782608695
154,0 days 03:28:00,1 days 00:06:00,4,28,12.575574365175333,12.5
125,0 days 10:53:00,3 days 05:05:00,7,51,12.372110647972717,12.068965517241379
155,0 days 06:12:00,2 days 00:01:00,4,32,11.435597909621887,11.11111111111111
266,0 days 11:29:00,3 days 17:49:00,8,60,11.335965778216519,11.764705882352942
18,1 days 07:28:00,10 days 08:18:00,27,218,11.247468128202073,11.020408163265307
66,0 days 15:50:00,5 days 04:58:00,14,114,11.245265151515152,10.9375
204,0 days 23:27:00,7 days 21:38:00,19,162,11.00508408290966,10.497237569060774
217,0 days 14:51:00,5 days 01:15:00,17,124,10.911094783247613,12.056737588652481
60,1 days 04:59:00,9 days 22:45:00,20,167,10.825448207171315,10.695187165775401
30,0 days 17:32:00,6 days 07:38:00,18,161,10.364532019704434,10.05586592178771
16,0 days 21:17:00,7 days 21:11:00,21,190,10.112448527082673,9.95260663507109
4,1 days 09:10:00,12 days 09:02:00,21,181,10.044417524732486,10.396039603960396
76,0 days 10:24:00,4 days 01:05:00,8,80,9.675918747092572,9.090909090909092
603,0 days 12:10:00,4 days 23:58:00,11,112,9.20787083753784,8.94308943089431
33,0 days 22:58:00,9 days 17:54:00,16,158,8.941084868933299,9.195402298850574
205,0 days 05:45:00,2 days 16:26:00,3,38,8.192828306815484,7.317073170731708
45,0 days 17:27:00,8 days 16:49:00,14,168,7.712139068945198,7.6923076923076925
53,0 days 12:27:00,6 days 07:29:00,11,114,7.594550630337536,8.8
55,0 days 06:29:00,3 days 10:10:00,9,78,7.3134047753337095,10.344827586206897
108,0 days 11:58:00,6 days 15:54:00,8,112,6.962761830876649,6.666666666666667
51,0 days 13:53:00,8 days 00:51:00,13,176,6.715575620767495,6.878306878306878
2,0 days 18:09:00,10 days 22:12:00,11,158,6.474050294275013,6.508875739644971
761,0 days 07:35:00,4 days 14:44:00,4,62,6.409353430060572,6.0606060606060606
162,0 days 06:51:00,4 days 04:54:00,5,77,6.357308584686775,6.097560975609756
128,0 days 02:09:00,1 days 07:52:00,2,31,6.320431161195493,6.0606060606060606
240,0 days 09:00:00,5 days 17:49:00,8,111,6.130094221818594,6.722689075630252
106,0 days 04:23:00,3 days 00:06:00,3,56,5.731096099368054,5.084745762711864
233,0 days 08:00:00,6 days 20:14:00,8,157,4.64486162183085,4.848484848484849
605,0 days 01:15:00,1 days 07:27:00,3,78,3.8226299694189603,3.7037037037037037
169,0 days 01:29:00,1 days 14:36:00,1,25,3.7006237006237006,3.8461538461538463
164,0 days 02:51:00,3 days 11:46:00,2,63,3.2903598229747932,3.076923076923077
166,0 days 01:56:00,2 days 09:45:00,2,65,3.2393186260821,2.985074626865672
Metro J Line (Silver) 910/950,0 days 04:54:00,6 days 10:32:00,5,136,3.0733849048714195,3.5460992907801416
94,0 days 02:58:00,4 days 00:35:00,2,72,2.9800770132261847,2.7027027027027026
487,0 days 00:42:00,0 days 23:52:00,1,30,2.8493894165535956,3.225806451612903
70,0 days 05:31:00,8 days 13:08:00,4,158,2.6188780757971357,2.4691358024691357
92,0 days 02:46:00,4 days 07:40:00,2,63,2.5994362668336986,3.076923076923077
182,0 days 01:06:00,2 days 00:01:00,1,47,2.239565659993213,2.0833333333333335
212,0 days 02:23:00,4 days 22:12:00,2,101,1.9765031098825157,1.941747572815534
110,0 days 01:41:00,3 days 18:08:00,1,61,1.833363586857869,1.6129032258064515
206,0 days 01:19:00,3 days 06:18:00,1,67,1.6537575884446305,1.4705882352941178
180,0 days 02:29:00,7 days 05:28:00,2,135,1.4113858103627925,1.4598540145985401
117,0 days 01:17:00,3 days 20:24:00,1,70,1.36986301369863,1.408450704225352
78,0 days 01:13:00,4 days 23:40:00,1,115,1.0064800772094307,0.8620689655172413
Metro G Line (Orange) 901,0 days 00:51:00,6 days 03:25:00,1,189,0.5732913669064749,0.5263157894736842
96,0 days 00:00:00,1 days 02:13:00,0,32,0.0,0.0
611,0 days 00:00:00,1 days 17:09:00,0,36,0.0,0.0
601,0 days 00:00:00,0 days 22:59:00,0,114,0.0,0.0
62,0 days 00:00:00,2 days 22:35:00,0,40,0.0,0.0
660,0 days 00:00:00,1 days 02:11:00,0,75,0.0,0.0
662,0 days 00:00:00,1 days 17:15:00,0,44,0.0,0.0
550,0 days 00:00:00,0 days 20:14:00,0,34,0.0,0.0
665,0 days 00:00:00,0 days 09:48:00,0,28,0.0,0.0
686,0 days 00:00:00,0 days 11:26:00,0,32,0.0,0.0
81,0 days 00:00:00,7 days 00:11:00,0,105,0.0,0.0
690,0 days 00:00:00,1 days 11:35:00,0,42,0.0,0.0
534,0 days 00:00:00,1 days 07:54:00,0,32,0.0,0.0
602,0 days 00:00:00,1 days 04:48:00,0,46,0.0,0.0
251,0 days 00:00:00,9 days 05:06:00,0,188,0.0,0.0
501,0 days 00:00:00,1 days 13:06:00,0,47,0.0,0.0
236/235,0 days 00:00:00,1 days 07:44:00,0,32,0.0,0.0
105,0 days 00:00:00,7 days 18:23:00,0,137,0.0,0.0
120,0 days 00:00:00,2 days 22:17:00,0,38,0.0,0.0
127,0 days 00:00:00,1 days 20:18:00,0,47,0.0,0.0
130,0 days 00:00:00,0 days 18:09:00,0,30,0.0,0.0
150,0 days 00:00:00,1 days 20:49:00,0,62,0.0,0.0
152,0 days 00:00:00,3 days 23:00:00,0,74,0.0,0.0
158,0 days 00:00:00,1 days 08:53:00,0,30,0.0,0.0
161,0 days 00:00:00,1 days 08:19:00,0,28,0.0,0.0
165,0 days 00:00:00,3 days 15:16:00,0,66,0.0,0.0
167,0 days 00:00:00,2 days 10:07:00,0,41,0.0,0.0
179,0 days 00:00:00,1 days 06:33:00,0,49,0.0,0.0
218,0 days 00:00:00,0 days 23:37:00,0,36,0.0,0.0
234,0 days 00:00:00,6 days 00:30:00,0,139,0.0,0.0
237,0 days 00:00:00,2 days 07:45:00,0,36,0.0,0.0
460,0 days 00:00:00,4 days 03:02:00,0,51,0.0,0.0
242/243,0 days 00:00:00,1 days 14:04:00,0,84,0.0,0.0
244,0 days 00:00:00,1 days 00:04:00,0,42,0.0,0.0
246,0 days 00:00:00,1 days 19:48:00,0,54,0.0,0.0
102,0 days 00:00:00,2 days 02:55:00,0,39,0.0,0.0
256,0 days 00:00:00,2 days 02:45:00,0,38,0.0,0.0
258,0 days 00:00:00,2 days 00:42:00,0,29,0.0,0.0
260,0 days 00:00:00,6 days 00:04:00,0,84,0.0,0.0
265,0 days 00:00:00,1 days 04:09:00,0,26,0.0,0.0
267,0 days 00:00:00,0 days 20:24:00,0,28,0.0,0.0
268,0 days 00:00:00,0 days 21:07:00,0,30,0.0,0.0
287,0 days 00:00:00,0 days 12:44:00,0,34,0.0,0.0
294,0 days 00:00:00,2 days 08:39:00,0,70,0.0,0.0
344,0 days 00:00:00,1 days 06:18:00,0,33,0.0,0.0
Metro L Line (Gold) Shuttle 854,0 days 00:00:00,1 days 10:57:00,0,131,0.0,0.0
