Route,Service Hours Canceled,Service Hours Run,Trips Canceled,Trips Run,Percent of Service Hours Canceled,Percent of Trips Canceled
603,1 days 10:28:00,6 days 22:53:00,26,130,17.117788262561046,16.666666666666668
501,0 days 07:48:00,2 days 15:20:00,9,73,10.965323336457358,10.975609756097562
230,0 days 05:26:00,1 days 23:41:00,6,56,10.229055538123628,9.67741935483871
177,0 days 01:23:00,0 days 13:01:00,3,29,9.606481481481481,9.375
167,0 days 05:39:00,2 days 05:29:00,4,37,9.55467869222097,9.75609756097561
266,0 days 12:56:00,6 days 03:00:00,8,91,8.086702792830346,8.080808080808081
204,0 days 18:37:00,9 days 01:10:00,14,174,7.895666925850003,7.446808510638298
577,0 days 04:12:00,2 days 05:46:00,4,52,7.245543415756182,7.142857142857143
158,0 days 02:12:00,1 days 16:32:00,2,32,5.14820592823713,5.882352941176471
605,0 days 02:16:00,1 days 21:05:00,5,105,4.787046814501936,4.545454545454546
14/37,0 days 10:33:00,8 days 22:55:00,7,146,4.679183914843288,4.57516339869281
224/690,0 days 05:47:00,5 days 04:49:00,5,124,4.428279734558449,3.875968992248062
720,0 days 16:57:00,16 days 20:14:00,13,309,4.02437576668909,4.037267080745342
30,0 days 07:29:00,7 days 21:19:00,8,194,3.8025067750677506,3.9603960396039604
234,0 days 06:36:00,7 days 07:23:00,8,161,3.626705742284092,4.733727810650888
40,0 days 11:26:00,14 days 03:28:00,6,182,3.258288211266268,3.1914893617021276
92,0 days 04:30:00,5 days 23:33:00,2,81,3.0395136778115504,2.4096385542168677
2,0 days 10:56:00,15 days 01:37:00,7,211,2.934729119133897,3.2110091743119265
20,0 days 05:23:00,7 days 22:03:00,5,152,2.7545625106600715,3.1847133757961785
35/38,0 days 02:40:00,4 days 16:35:00,3,127,2.3138105567606653,2.3076923076923075
4,0 days 09:40:00,17 days 01:17:00,5,227,2.3073556908143376,2.1551724137931036
16,0 days 06:12:00,11 days 20:32:00,6,269,2.1325384086218757,2.1818181818181817
754,0 days 02:57:00,6 days 04:18:00,3,137,1.9504132231404958,2.142857142857143
90,0 days 02:23:00,5 days 07:54:00,2,66,1.8293462965331968,2.9411764705882355
207,0 days 05:47:00,13 days 07:45:00,4,260,1.7765717796436618,1.5151515151515151
