Route,Service Hours Canceled,Service Hours Run,Trips Canceled,Trips Run,Percent of Service Hours Canceled,Percent of Trips Canceled
601,0 days 10:29:00,0 days 12:57:00,50,64,44.73684210526316,43.85964912280702
754,2 days 21:30:00,4 days 11:53:00,63,101,39.18068213849479,38.41463414634146
40,5 days 11:39:00,10 days 21:26:00,67,142,33.49162603349587,32.057416267942585
45,3 days 19:04:00,7 days 21:30:00,68,145,32.458120470476416,31.92488262910798
117,2 days 12:43:00,5 days 10:24:00,38,91,31.769425307403854,29.45736434108527
240,3 days 09:18:00,7 days 16:27:00,59,148,30.59266227657573,28.502415458937197
150,1 days 02:44:00,2 days 12:46:00,30,82,30.552380952380954,26.785714285714285
166,1 days 06:36:00,3 days 16:09:00,32,95,25.768421052631577,25.19685039370079
81,2 days 06:46:00,6 days 17:25:00,31,100,25.333436126744274,23.66412213740458
16,3 days 06:06:00,10 days 00:21:00,70,231,24.52504317789292,23.25581395348837
217,2 days 00:27:00,6 days 07:36:00,46,157,24.21894526368408,22.660098522167488
251,2 days 15:05:00,8 days 14:12:00,53,169,23.42637865940459,23.873873873873872
53,2 days 09:17:00,7 days 19:43:00,42,139,23.38095238095238,23.204419889502763
206,1 days 13:15:00,5 days 02:05:00,30,99,23.37866108786611,23.25581395348837
115,2 days 06:46:00,7 days 13:58:00,32,111,23.134328358208954,22.377622377622377
210,2 days 15:49:00,9 days 02:49:00,42,146,22.579313598301688,22.340425531914892
207,3 days 09:49:00,11 days 19:50:00,62,230,22.375678016317973,21.232876712328768
204,2 days 11:18:00,8 days 18:56:00,45,169,21.94399901319847,21.02803738317757
232,1 days 13:05:00,5 days 13:10:00,20,76,21.78169358786099,20.833333333333332
164,1 days 14:35:00,5 days 21:53:00,26,99,21.379756187661616,20.8
14/37,2 days 01:13:00,7 days 15:20:00,32,126,21.163907403425785,20.253164556962027
55,1 days 08:33:00,5 days 13:34:00,27,121,19.59466238587338,18.243243243243242
165,1 days 12:13:00,6 days 07:58:00,26,107,19.245416703569216,19.548872180451127
2,3 days 08:00:00,14 days 02:14:00,46,198,19.128078425121544,18.852459016393443
222,0 days 13:07:00,2 days 07:51:00,12,60,19.018849685838568,16.666666666666668
28,2 days 00:26:00,8 days 18:25:00,41,178,18.710965166441312,18.72146118721461
Metro G Line (Orange) 901,1 days 17:57:00,7 days 15:00:00,51,229,18.648588575238943,18.214285714285715
230,0 days 13:06:00,2 days 09:45:00,15,67,18.489767113620324,18.29268292682927
108,2 days 06:39:00,10 days 06:03:00,35,170,18.174260059860327,17.073170731707318
