Route,Service Hours Canceled,Service Hours Run,Trips Canceled,Trips Run,Percent of Service Hours Canceled,Percent of Trips Canceled
605,0 days 09:39:00,0 days 23:03:00,24,57,29.510703363914374,29.62962962962963
266,1 days 05:45:00,2 days 23:33:00,20,48,29.36821322803554,29.41176470588235
18,3 days 00:53:00,8 days 14:53:00,63,182,26.0514714643155,25.714285714285715
690,0 days 15:02:00,1 days 20:17:00,17,53,25.34419780837314,24.285714285714285
115,1 days 12:50:00,4 days 13:09:00,22,68,25.23119077520265,24.444444444444443
256,0 days 12:02:00,1 days 14:43:00,9,29,23.711001642036123,23.68421052631579
53,1 days 13:05:00,5 days 06:51:00,29,96,22.620984139894265,23.2
20,1 days 15:27:00,5 days 19:56:00,33,122,21.992009662733437,21.29032258064516
240,1 days 16:47:00,6 days 01:28:00,33,116,21.89709172259508,22.14765100671141
40,2 days 10:24:00,9 days 13:26:00,33,127,20.28951939779965,20.625
81,1 days 09:56:00,5 days 14:15:00,20,85,20.17639480725399,19.047619047619047
210,2 days 04:02:00,8 days 18:46:00,36,145,19.799594114662607,19.88950276243094
217,1 days 02:44:00,4 days 13:22:00,27,114,19.64241978937056,19.148936170212767
45,1 days 19:51:00,8 days 00:28:00,37,153,18.555610409760913,19.473684210526315
206,0 days 19:53:00,3 days 16:02:00,17,74,18.424710424710426,18.681318681318682
207,1 days 18:59:00,8 days 03:00:00,35,172,18.061488899782898,16.908212560386474
204,1 days 14:23:00,7 days 06:42:00,31,150,18.013296832225265,17.12707182320442
125,0 days 15:27:00,3 days 00:31:00,10,48,17.563471011746874,17.24137931034483
754,0 days 21:16:00,4 days 09:01:00,21,104,16.840438168140427,16.8
70,1 days 15:40:00,8 days 09:12:00,32,152,16.468308884583447,17.391304347826086
35/38,0 days 13:52:00,3 days 00:08:00,14,85,16.124031007751938,14.141414141414142
165,0 days 13:40:00,3 days 01:36:00,10,56,15.660809778456837,15.151515151515152
76,0 days 16:46:00,4 days 04:45:00,15,81,14.267479790100696,15.625
166,0 days 07:42:00,2 days 04:32:00,8,59,12.783619258439403,11.940298507462687
117,0 days 11:56:00,3 days 12:22:00,8,63,12.391831083419868,11.267605633802816
150,0 days 07:32:00,2 days 06:47:00,9,74,12.08879379513239,10.843373493975903
33,1 days 09:54:00,10 days 11:54:00,23,169,11.861441567529742,11.979166666666666
164,0 days 09:12:00,3 days 05:25:00,7,58,10.62151241100635,10.76923076923077
251,0 days 23:10:00,8 days 05:56:00,18,170,10.47791346298809,9.574468085106384
152,0 days 13:36:00,4 days 21:45:00,10,91,10.354015987818805,9.900990099009901
16,0 days 23:24:00,9 days 01:02:00,22,217,9.732427561347567,9.205020920502092
Metro G Line (Orange) 901,0 days 15:31:00,6 days 11:01:00,20,198,9.098905394839718,9.174311926605505
720,1 days 01:34:00,10 days 22:02:00,22,219,8.889661566991192,9.12863070539419
92,0 days 11:53:00,5 days 04:54:00,6,74,8.687705617156086,7.5
111,0 days 13:53:00,6 days 12:52:00,11,119,8.13079551000488,8.461538461538462
108,0 days 14:06:00,6 days 15:28:00,10,110,8.12367966199347,8.333333333333334
260,0 days 11:35:00,5 days 12:29:00,6,78,8.040259139287366,7.142857142857143
