Route,Service Hours Canceled,Service Hours Run,Trips Canceled,Trips Run,Percent of Service Hours Canceled,Percent of Trips Canceled
177,0 days 04:01:00,0 days 10:23:00,9,23,27.89351851851852,28.125
577,0 days 12:12:00,1 days 21:46:00,12,44,21.046578493387003,21.428571428571427
150,0 days 14:15:00,2 days 14:42:00,18,82,18.51851851851852,18.0
205,0 days 23:01:00,4 days 10:20:00,11,57,17.794098698621312,16.176470588235293
501,0 days 10:46:00,2 days 12:22:00,12,70,15.13589503280225,14.634146341463415
111,1 days 11:43:00,8 days 22:31:00,21,150,14.273344878113761,12.280701754385966
232,0 days 23:11:00,6 days 03:04:00,13,83,13.617229564366129,13.541666666666666
20,1 days 01:07:00,7 days 02:19:00,21,136,12.851782363977486,13.375796178343949
603,1 days 00:40:00,7 days 08:41:00,18,138,12.250641503186822,11.538461538461538
28,0 days 23:41:00,7 days 21:08:00,20,159,11.12851437074164,11.1731843575419
117,0 days 14:13:00,5 days 15:21:00,9,93,9.505237352351237,8.823529411764707
96,0 days 03:47:00,1 days 12:37:00,4,39,9.364686468646864,9.30232558139535
207,1 days 05:38:00,12 days 07:54:00,23,241,9.103010444398935,8.712121212121213
14/37,0 days 20:18:00,8 days 13:10:00,16,137,9.003548196333531,10.457516339869281
2,1 days 09:16:00,14 days 03:17:00,20,198,8.929450185657407,9.174311926605505
125,0 days 11:46:00,5 days 11:08:00,7,80,8.234196407744344,8.045977011494253
720,1 days 10:06:00,16 days 03:05:00,25,297,8.096236793162122,7.763975155279503
70,0 days 21:41:00,11 days 01:11:00,15,189,7.55867999070416,7.352941176470588
294,0 days 04:24:00,2 days 07:32:00,5,66,7.341490545050056,7.042253521126761
33,0 days 23:19:00,12 days 16:28:00,15,196,7.113438755275334,7.109004739336493
4,1 days 03:12:00,16 days 07:45:00,15,217,6.492421530015515,6.4655172413793105
206,0 days 09:17:00,5 days 14:25:00,7,110,6.460218046856878,5.982905982905983
158,0 days 02:43:00,1 days 16:01:00,2,32,6.357254290171607,5.882352941176471
204,0 days 14:18:00,9 days 05:29:00,11,177,6.064890082703046,5.851063829787234
217,0 days 10:18:00,6 days 18:15:00,12,164,5.96928426543031,6.818181818181818
35/38,0 days 06:14:00,4 days 13:01:00,5,125,5.408532176428055,3.8461538461538463
240,0 days 11:54:00,8 days 23:09:00,9,169,5.241136313587315,5.056179775280899
18,0 days 16:04:00,12 days 08:16:00,13,250,5.144076840981857,4.942965779467681
210,0 days 13:20:00,10 days 10:27:00,8,168,5.054653440323498,4.545454545454546
55,0 days 07:22:00,5 days 21:03:00,6,127,4.963503649635037,4.511278195488722
108,0 days 12:00:00,10 days 08:07:00,8,166,4.6133145383481775,4.597701149425287
251,0 days 11:19:00,9 days 22:15:00,9,192,4.534526512621878,4.477611940298507
162,0 days 07:45:00,6 days 19:39:00,5,116,4.521586931155192,4.132231404958677
260,0 days 09:59:00,8 days 19:36:00,5,121,4.505453177886423,3.9682539682539684
51,0 days 14:30:00,12 days 21:57:00,12,268,4.469101556480197,4.285714285714286
53,0 days 09:12:00,8 days 18:26:00,7,155,4.188799514342085,4.320987654320987
76,0 days 05:11:00,5 days 09:34:00,4,100,3.846629560915275,3.8461538461538463
78,0 days 05:56:00,6 days 23:33:00,5,158,3.4201172062638103,3.067484662576687
115,0 days 07:17:00,8 days 16:11:00,4,126,3.380259900990099,3.076923076923077
16,0 days 09:26:00,11 days 17:18:00,9,266,3.2446686539784455,3.272727272727273
212,0 days 05:19:00,6 days 23:25:00,5,134,3.0779621767657277,3.597122302158273
266,0 days 04:45:00,6 days 11:11:00,3,96,2.9699874947894958,3.0303030303030303
161,0 days 01:11:00,1 days 15:23:00,1,34,2.917009038619556,2.857142857142857
Metro J Line (Silver) 910/950,0 days 07:21:00,10 days 05:31:00,6,222,2.9066701819140524,2.6315789473684212
165,0 days 04:32:00,6 days 11:52:00,3,111,2.826267664172901,2.6315789473684212
30,0 days 05:29:00,7 days 23:19:00,6,196,2.7862466124661247,2.9702970297029703
66,0 days 05:12:00,8 days 05:21:00,5,169,2.567267341397186,2.8735632183908044
152,0 days 04:25:00,7 days 00:19:00,3,122,2.5569278270937863,2.4
40,0 days 08:15:00,14 days 06:39:00,5,183,2.3510971786833856,2.6595744680851063
45,0 days 05:41:00,10 days 09:33:00,4,190,2.2267206477732793,2.0618556701030926
164,0 days 02:49:00,5 days 05:11:00,2,87,2.2005208333333335,2.247191011235955
236/235,0 days 01:12:00,2 days 17:15:00,1,65,1.8058690744920993,1.5151515151515151
81,0 days 03:21:00,7 days 22:35:00,2,116,1.7273977311790993,1.694915254237288
246,0 days 01:01:00,2 days 10:25:00,1,67,1.7106001121704992,1.4705882352941178
Metro G Line (Orange) 901,0 days 03:21:00,8 days 07:59:00,4,250,1.6475409836065573,1.5748031496062993
60,0 days 05:22:00,13 days 16:34:00,4,246,1.6071072070273507,1.6
105,0 days 04:07:00,11 days 10:52:00,3,193,1.4755959137343928,1.530612244897959
224/690,0 days 01:52:00,5 days 08:44:00,2,127,1.4293006636038796,1.550387596899225
180,0 days 02:56:00,9 days 20:07:00,2,175,1.2270794115596457,1.1299435028248588
233,0 days 02:09:00,7 days 12:36:00,2,166,1.1764705882352942,1.1904761904761905
10/48,0 days 01:39:00,6 days 15:17:00,1,124,1.0252692626346314,0.8
166,0 days 00:56:00,4 days 01:46:00,1,105,0.9456264775413712,0.9433962264150944
605,0 days 00:24:00,1 days 22:57:00,1,109,0.8447729672650475,0.9090909090909091
182,0 days 00:36:00,2 days 22:47:00,4,70,0.8405323371468597,5.405405405405405
