Route,Service Hours Canceled,Service Hours Run,Trips Canceled,Trips Run,Percent of Service Hours Canceled,Percent of Trips Canceled
754,3 days 15:51:00,3 days 17:32:00,81,83,49.525509724701685,49.390243902439025
240,4 days 14:24:00,6 days 11:21:00,84,123,41.54280338664158,40.57971014492754
40,6 days 00:19:00,10 days 08:46:00,76,133,36.714013143947426,36.36363636363637
207,5 days 10:39:00,9 days 19:00:00,103,189,35.73089019554219,35.273972602739725
206,2 days 02:25:00,4 days 12:55:00,40,89,31.64225941422594,31.007751937984494
204,3 days 04:19:00,8 days 01:55:00,59,155,28.241026273590723,27.570093457943926
108,3 days 10:56:00,9 days 01:46:00,56,149,27.580090899013413,27.317073170731707
117,2 days 04:41:00,5 days 18:26:00,34,95,27.566059126188193,26.356589147286822
660,0 days 06:47:00,0 days 20:13:00,19,58,25.123456790123456,24.675324675324674
210,2 days 21:58:00,8 days 20:40:00,49,139,24.7552777450171,26.06382978723404
53,2 days 06:31:00,7 days 22:29:00,40,141,22.25170068027211,22.099447513812155
115,2 days 04:27:00,7 days 16:17:00,31,112,22.155730780061955,21.678321678321677
76,1 days 11:43:00,5 days 12:32:00,26,102,21.22833085685983,20.3125
Metro G Line (Orange) 901,1 days 22:56:00,7 days 10:01:00,58,222,20.863895680521598,20.714285714285715
111,2 days 12:01:00,9 days 12:30:00,39,158,20.801802322222866,19.79695431472081
166,1 days 00:04:00,3 days 22:41:00,25,102,20.266666666666666,19.68503937007874
251,2 days 05:39:00,8 days 23:38:00,41,181,19.923253079160734,18.46846846846847
165,1 days 13:25:00,6 days 06:46:00,27,106,19.88309272872199,20.30075187969925
14/37,1 days 21:26:00,7 days 19:07:00,31,127,19.537017128932845,19.620253164556964
28,2 days 01:05:00,8 days 17:46:00,43,176,18.962075848303392,19.634703196347033
70,2 days 19:06:00,12 days 06:30:00,46,209,18.55641592920354,18.03921568627451
81,1 days 15:45:00,7 days 08:26:00,23,108,18.387171382314392,17.557251908396946
10/48,1 days 06:56:00,5 days 23:12:00,24,110,17.76416539050536,17.91044776119403
162,1 days 11:45:00,7 days 00:30:00,24,119,17.503059975520195,16.783216783216783
244,0 days 06:48:00,1 days 09:48:00,12,59,16.748768472906406,16.901408450704224
