Route,Service Hours Canceled,Service Hours Run,Trips Canceled,Trips Run,Percent of Service Hours Canceled,Percent of Trips Canceled
266,1 days 02:03:00,3 days 03:15:00,17,51,25.71569595261599,25.0
232,1 days 02:42:00,3 days 11:47:00,15,50,24.16654095640368,23.076923076923077
125,0 days 19:50:00,2 days 20:08:00,13,45,22.546419098143236,22.413793103448278
45,1 days 18:57:00,7 days 15:19:00,34,148,18.98202710665881,18.681318681318682
162,0 days 18:53:00,3 days 17:10:00,15,67,17.476476939688414,18.29268292682927
53,1 days 03:26:00,5 days 16:30:00,21,104,16.73444489629931,16.8
18,1 days 20:22:00,9 days 19:24:00,37,208,15.858453473132371,15.10204081632653
240,1 days 05:27:00,6 days 12:48:00,23,126,15.812080536912752,15.436241610738255
94,0 days 15:05:00,3 days 12:28:00,12,62,15.151515151515152,16.216216216216218
150,0 days 06:35:00,1 days 14:13:00,8,54,14.694940476190476,12.903225806451612
224/690,0 days 11:05:00,3 days 05:43:00,10,82,12.48123123123123,10.869565217391305
20,0 days 18:47:00,5 days 22:44:00,16,124,11.62934681663399,11.428571428571429
256,0 days 05:30:00,1 days 21:15:00,4,34,10.83743842364532,10.526315789473685
605,0 days 03:23:00,1 days 05:19:00,8,73,10.346585117227319,9.876543209876543
81,0 days 16:43:00,6 days 07:28:00,10,95,9.939550094143296,9.523809523809524
105,0 days 17:06:00,7 days 01:18:00,11,126,9.17381974248927,8.02919708029197
66,0 days 10:36:00,5 days 10:12:00,10,118,7.528409090909091,7.8125
28,0 days 11:10:00,5 days 19:37:00,10,127,7.405769868464684,7.299270072992701
205,0 days 05:08:00,2 days 17:03:00,3,38,7.3141771550700545,7.317073170731708
60,0 days 19:46:00,10 days 12:34:00,13,174,7.258261933904529,6.951871657754011
204,0 days 14:56:00,8 days 06:09:00,12,169,7.008212749315605,6.629834254143646
30,0 days 11:26:00,6 days 13:44:00,13,166,6.758620689655173,7.262569832402234
603,0 days 11:32:00,6 days 16:43:00,10,146,6.695694242864054,6.410256410256411
16,0 days 13:53:00,8 days 04:38:00,15,196,6.594885598923284,7.109004739336493
217,0 days 08:34:00,5 days 07:32:00,9,132,6.294391378888072,6.382978723404255
51,0 days 16:46:00,10 days 10:46:00,15,227,6.2671318215798655,6.198347107438017
720,0 days 18:00:00,11 days 05:36:00,15,226,6.258692628650904,6.224066390041494
92,0 days 06:18:00,4 days 04:08:00,3,62,5.919198246163482,4.615384615384615
40,0 days 14:24:00,10 days 03:20:00,8,137,5.587170201758924,5.517241379310345
754,0 days 06:25:00,4 days 12:44:00,6,108,5.572441742654509,5.2631578947368425
294,0 days 03:07:00,2 days 05:32:00,4,66,5.501618122977346,5.714285714285714
55,0 days 04:28:00,3 days 12:54:00,4,83,4.998135024244685,4.597701149425287
115,0 days 07:10:00,5 days 18:49:00,4,86,4.909236214179701,4.444444444444445
111,0 days 08:17:00,6 days 18:28:00,6,124,4.851146900927281,4.615384615384615
233,0 days 08:07:00,6 days 20:07:00,7,158,4.712599187149216,4.242424242424242
207,0 days 11:07:00,9 days 10:52:00,10,197,4.671195461867078,4.830917874396135
117,0 days 04:25:00,3 days 19:53:00,3,68,4.586362062997577,4.225352112676056
180,0 days 06:56:00,7 days 01:01:00,6,131,3.9405134034290046,4.37956204379562
Metro G Line (Orange) 901,0 days 06:26:00,6 days 20:06:00,8,210,3.772478498827209,3.669724770642202
210,0 days 08:24:00,9 days 00:55:00,5,151,3.7280863969228495,3.2051282051282053
110,0 days 03:17:00,3 days 14:53:00,2,60,3.641404805914972,3.225806451612903
158,0 days 01:13:00,1 days 09:58:00,1,29,3.458076740881099,3.3333333333333335
251,0 days 07:19:00,8 days 21:47:00,6,182,3.309211518166742,3.1914893617021276
166,0 days 01:59:00,2 days 10:15:00,2,65,3.2927504150525735,2.985074626865672
165,0 days 02:50:00,3 days 12:26:00,2,64,3.2467532467532467,3.0303030303030303
206,0 days 02:29:00,3 days 05:08:00,2,66,3.1191124136487334,2.9411764705882355
267,0 days 00:38:00,0 days 19:46:00,1,27,3.104575163398693,3.5714285714285716
2,0 days 08:42:00,11 days 07:39:00,5,164,3.103263777421081,2.9585798816568047
Metro J Line (Silver) 910/950,0 days 04:45:00,6 days 10:41:00,5,136,2.979301693497805,3.5460992907801416
10/48,0 days 02:53:00,4 days 16:30:00,2,85,2.498916654629496,2.2988505747126435
76,0 days 02:32:00,4 days 08:57:00,2,86,2.3569545665994727,2.272727272727273
212,0 days 02:52:00,5 days 02:00:00,2,101,2.2957821676454886,1.941747572815534
33,0 days 05:21:00,10 days 11:31:00,4,170,2.082792629120166,2.2988505747126435
14/37,0 days 03:11:00,6 days 22:40:00,3,121,1.8742027278971642,2.4193548387096775
460,0 days 01:43:00,4 days 01:19:00,1,50,1.733423089868731,1.9607843137254901
90,0 days 01:54:00,4 days 21:12:00,1,65,1.595298068849706,1.5151515151515151
35/38,0 days 01:08:00,3 days 12:52:00,2,97,1.317829457364341,2.0202020202020203
4,0 days 02:57:00,13 days 15:15:00,2,200,0.8933979406420351,0.9900990099009901
234,0 days 00:54:00,5 days 23:36:00,1,138,0.6228373702422145,0.7194244604316546
152,0 days 00:00:00,3 days 23:28:00,0,74,0.0,0.0
660,0 days 00:00:00,1 days 02:16:00,0,75,0.0,0.0
662,0 days 00:00:00,1 days 17:15:00,0,44,0.0,0.0
665,0 days 00:00:00,0 days 09:48:00,0,28,0.0,0.0
62,0 days 00:00:00,2 days 22:35:00,0,40,0.0,0.0
617,0 days 00:00:00,1 days 01:03:00,0,39,0.0,0.0
611,0 days 00:00:00,1 days 17:09:00,0,36,0.0,0.0
154,0 days 00:00:00,1 days 03:34:00,0,32,0.0,0.0
686,0 days 00:00:00,0 days 11:26:00,0,32,0.0,0.0
690,0 days 00:00:00,1 days 11:35:00,0,42,0.0,0.0
237,0 days 00:00:00,2 days 07:45:00,0,36,0.0,0.0
70,0 days 00:00:00,8 days 18:39:00,0,162,0.0,0.0
602,0 days 00:00:00,1 days 04:48:00,0,46,0.0,0.0
