Route,Service Hours Canceled,Service Hours Run,Trips Canceled,Trips Run,Percent of Service Hours Canceled,Percent of Trips Canceled
125,1 days 00:05:00,2 days 15:53:00,16,42,27.37779461917393,27.586206896551722
232,1 days 00:21:00,3 days 14:08:00,14,51,22.039523306682756,21.53846153846154
256,0 days 11:03:00,1 days 15:42:00,8,30,21.773399014778324,21.05263157894737
205,0 days 12:00:00,2 days 10:11:00,7,34,17.09807646639753,17.073170731707318
18,1 days 22:52:00,9 days 16:54:00,40,205,16.752055284165376,16.3265306122449
30,1 days 03:40:00,5 days 21:30:00,29,150,16.354679802955665,16.201117318435752
603,1 days 03:47:00,6 days 00:28:00,25,131,16.129656507014996,16.025641025641026
605,0 days 04:38:00,1 days 04:04:00,11,70,14.169215086646279,13.580246913580247
266,0 days 14:02:00,3 days 15:16:00,9,59,13.853241197762422,13.235294117647058
66,0 days 18:26:00,5 days 02:22:00,16,112,13.09185606060606,12.5
210,1 days 03:39:00,8 days 05:40:00,20,136,12.271617723204379,12.820512820512821
33,1 days 07:00:00,9 days 09:52:00,20,154,12.06851803789255,11.494252873563218
128,0 days 04:05:00,1 days 05:56:00,4,29,12.003919647231749,12.121212121212121
53,0 days 19:12:00,6 days 00:44:00,14,111,11.712078080520536,11.2
207,1 days 03:51:00,8 days 18:08:00,25,182,11.702500175082289,12.077294685990339
720,1 days 08:37:00,10 days 14:59:00,26,215,11.34098284654613,10.78838174273859
20,0 days 17:00:00,6 days 00:31:00,15,125,10.525229594469096,10.714285714285714
761,0 days 11:14:00,4 days 11:05:00,6,60,9.494294971122693,9.090909090909092
204,0 days 19:24:00,8 days 01:41:00,16,165,9.104419241298396,8.839779005524862
16,0 days 17:42:00,8 days 00:49:00,18,193,8.407885361412399,8.530805687203792
45,0 days 17:03:00,8 days 17:13:00,13,169,7.535356511490866,7.142857142857143
40,0 days 19:11:00,9 days 22:33:00,10,135,7.443093636833937,6.896551724137931
233,0 days 11:51:00,6 days 16:23:00,11,154,6.880201277336946,6.666666666666667
28,0 days 10:09:00,5 days 20:38:00,10,127,6.731513208798496,7.299270072992701
117,0 days 06:02:00,3 days 18:16:00,4,67,6.265143648321218,5.633802816901408
111,0 days 10:22:00,6 days 16:23:00,8,122,6.0712542703757935,6.153846153846154
246,0 days 02:37:00,1 days 17:11:00,4,50,5.974124809741248,7.407407407407407
92,0 days 06:17:00,4 days 04:09:00,3,62,5.903538991544003,4.615384615384615
106,0 days 04:29:00,2 days 23:58:00,3,56,5.864399389579246,5.084745762711864
108,0 days 10:02:00,6 days 19:32:00,7,113,5.780679854042635,5.833333333333333
105,0 days 09:12:00,7 days 09:12:00,6,131,4.935622317596566,4.37956204379562
51,0 days 11:36:00,10 days 15:56:00,10,232,4.335908298031398,4.132231404958677
167,0 days 01:30:00,2 days 08:37:00,1,40,2.581015199311729,2.4390243902439024
754,0 days 02:58:00,4 days 16:11:00,3,111,2.576349688811695,2.6315789473684212
224/690,0 days 01:52:00,3 days 14:56:00,2,90,2.1021021021021022,2.1739130434782608
180,0 days 03:41:00,7 days 04:16:00,3,134,2.0933977455716586,2.18978102189781
460,0 days 01:49:00,4 days 01:13:00,1,50,1.8343991921911815,1.9607843137254901
206,0 days 01:13:00,3 days 06:24:00,1,67,1.5281557462842787,1.4705882352941178
110,0 days 01:20:00,3 days 16:50:00,1,61,1.478743068391867,1.6129032258064515
70,0 days 02:53:00,8 days 15:46:00,2,160,1.3687791755676872,1.2345679012345678
4,0 days 04:29:00,13 days 13:43:00,3,199,1.3577629719362003,1.4851485148514851
212,0 days 01:18:00,5 days 03:34:00,1,102,1.0411105178857447,0.970873786407767
115,0 days 01:11:00,6 days 00:48:00,1,89,0.8105948167599041,1.1111111111111112
240,0 days 01:12:00,7 days 17:03:00,1,148,0.6442953020134228,0.6711409395973155
251,0 days 01:19:00,9 days 03:47:00,1,187,0.5955073119252223,0.5319148936170213
60,0 days 01:36:00,11 days 06:44:00,1,186,0.587515299877601,0.5347593582887701
2,0 days 01:26:00,11 days 14:55:00,1,168,0.5112656798050057,0.591715976331361
534,0 days 00:00:00,1 days 07:54:00,0,32,0.0,0.0
Metro J Line (Silver) 910/950,0 days 00:00:00,6 days 15:26:00,0,141,0.0,0.0
Metro G Line (Orange) 901,0 days 00:00:00,7 days 02:32:00,0,218,0.0,0.0
96,0 days 00:00:00,1 days 02:13:00,0,32,0.0,0.0
