Route,duration_added,Service Hours Canceled,Service Hours Run,count_added,Trips Canceled,Trips Run,Percent of Service Hours Canceled,Percent of Trips Canceled
205,0 days 00:51:00,1 days 03:45:00,1 days 17:35:00,1.0,16,24,40.02403846153846,40.0
125,,0 days 23:44:00,2 days 16:14:00,,16,42,26.979916635089047,27.586206896551722
603,,1 days 16:45:00,5 days 11:30:00,,36,120,23.657474600870827,23.076923076923077
232,,1 days 00:23:00,3 days 14:06:00,,14,51,22.069693769799365,21.53846153846154
128,,0 days 07:20:00,1 days 02:41:00,,7,26,21.558059774620283,21.21212121212121
266,,0 days 21:10:00,3 days 08:08:00,,14,54,20.895031260282988,20.58823529411765
81,,1 days 06:25:00,5 days 17:46:00,,18,87,18.085422653849964,17.142857142857142
720,,2 days 02:51:00,9 days 20:45:00,,44,197,17.680806675938804,18.25726141078838
117,,0 days 16:09:00,3 days 08:09:00,,12,59,16.770508826583594,16.901408450704224
33,,1 days 18:01:00,8 days 22:51:00,,29,145,16.357383856735012,16.666666666666668
204,,1 days 05:43:00,7 days 15:22:00,,24,157,13.946030504497458,13.259668508287293
30,,0 days 22:29:00,6 days 02:41:00,,24,155,13.29064039408867,13.40782122905028
40,,1 days 08:23:00,9 days 09:21:00,,17,128,12.564666321779617,11.724137931034482
130,,0 days 02:16:00,0 days 15:53:00,,4,26,12.488521579430671,13.333333333333334
207,,1 days 04:54:00,8 days 17:05:00,,26,181,12.143707542544997,12.560386473429952
20,,0 days 17:55:00,5 days 23:36:00,,15,125,11.092766484366939,10.714285714285714
206,,0 days 08:29:00,2 days 23:08:00,,8,60,10.655222943269834,11.764705882352942
256,,0 days 05:20:00,1 days 21:25:00,,4,34,10.50903119868637,10.526315789473685
210,,0 days 22:31:00,8 days 10:48:00,,15,141,9.993342702862638,9.615384615384615
92,,0 days 10:15:00,4 days 00:11:00,,5,60,9.630441590980269,7.6923076923076925
154,,0 days 02:39:00,1 days 00:55:00,,3,29,9.613059250302298,9.375
115,,0 days 13:16:00,5 days 12:43:00,,8,82,9.087795410434982,8.88888888888889
111,,0 days 15:19:00,6 days 11:26:00,,11,119,8.970229380185456,8.461538461538462
10/48,,0 days 10:14:00,4 days 09:09:00,,8,79,8.868987433193702,9.195402298850574
501,,0 days 03:16:00,1 days 09:50:00,,4,43,8.80503144654088,8.51063829787234
155,,0 days 04:36:00,2 days 01:37:00,,3,33,8.484475868429142,8.333333333333334
224/690,,0 days 07:25:00,3 days 09:23:00,,8,84,8.352102102102101,8.695652173913043
45,,0 days 18:23:00,8 days 15:53:00,,15,167,8.124631703005303,8.241758241758241
180,,0 days 14:05:00,6 days 17:52:00,,12,125,8.004167850715165,8.75912408759124
2,,0 days 22:06:00,10 days 18:15:00,,13,156,7.883003388621366,7.6923076923076925
217,,0 days 09:51:00,5 days 06:15:00,,10,131,7.237325495958854,7.092198581560283
28,,0 days 09:50:00,5 days 20:57:00,,9,128,6.521498839394274,6.569343065693431
251,,0 days 13:59:00,8 days 15:07:00,,13,175,6.324438413990653,6.914893617021277
550,,0 days 01:16:00,0 days 18:58:00,,2,32,6.260296540362439,5.882352941176471
35/38,,0 days 05:19:00,3 days 08:41:00,,7,92,6.182170542635659,7.070707070707071
233,,0 days 10:37:00,6 days 17:37:00,,10,155,6.164118443971357,6.0606060606060606
51,,0 days 15:19:00,10 days 12:13:00,,13,229,5.725143284325941,5.371900826446281
127,,0 days 02:26:00,1 days 17:52:00,,2,45,5.492851768246802,4.25531914893617
53,,0 days 08:31:00,6 days 11:25:00,,6,119,5.195201301342009,4.8
605,,0 days 01:41:00,1 days 07:01:00,,4,77,5.147808358817533,4.938271604938271
66,,0 days 06:50:00,5 days 13:58:00,,6,122,4.853219696969697,4.6875
761,,0 days 05:36:00,4 days 16:43:00,,3,63,4.7330609945062685,4.545454545454546
18,,0 days 10:52:00,11 days 04:54:00,,9,236,3.884189205290123,3.673469387755102
Metro G Line (Orange) 901,,0 days 06:22:00,6 days 20:10:00,,8,210,3.733385457388585,3.669724770642202
108,,0 days 05:39:00,6 days 23:55:00,,4,116,3.255233339734972,3.3333333333333335
754,,0 days 03:08:00,4 days 16:01:00,,3,111,2.7210884353741496,2.6315789473684212
120,,0 days 01:47:00,2 days 20:30:00,,1,37,2.5373488261797488,2.6315789473684212
60,,0 days 06:54:00,11 days 01:26:00,,5,182,2.533659730722154,2.6737967914438503
110,,0 days 01:39:00,3 days 16:31:00,,1,61,1.8299445471349354,1.6129032258064515
4,,0 days 05:31:00,13 days 12:41:00,,4,198,1.670704623460529,1.9801980198019802
Metro L Line (Gold) Shuttle 854,,0 days 00:32:00,1 days 10:25:00,,2,129,1.525989508822127,1.5267175572519085
70,,0 days 02:11:00,8 days 16:28:00,,2,160,1.0364744046206187,1.2345679012345678
16,,0 days 02:07:00,8 days 16:24:00,,2,209,1.005462750376059,0.9478672985781991
234,,0 days 01:12:00,5 days 23:18:00,,1,138,0.8304498269896193,0.7194244604316546
14/37,,0 days 00:56:00,7 days 00:55:00,,1,123,0.5495044647237759,0.8064516129032258
161,,0 days 00:00:00,1 days 08:19:00,,0,28,0.0,0.0
602,,0 days 00:00:00,1 days 04:48:00,,0,46,0.0,0.0
218,,0 days 00:00:00,0 days 22:52:00,,0,36,0.0,0.0
611,,0 days 00:00:00,1 days 17:09:00,,0,36,0.0,0.0
617,,0 days 00:00:00,1 days 01:03:00,,0,39,0.0,0.0
62,,0 days 00:00:00,2 days 22:35:00,,0,40,0.0,0.0
165,,0 days 00:00:00,3 days 15:16:00,,0,66,0.0,0.0
660,,0 days 00:00:00,1 days 02:16:00,,0,75,0.0,0.0
662,,0 days 00:00:00,1 days 17:15:00,,0,44,0.0,0.0
665,,0 days 00:00:00,0 days 09:48:00,,0,28,0.0,0.0
686,,0 days 00:00:00,0 days 11:26:00,,0,32,0.0,0.0
690,,0 days 00:00:00,1 days 11:35:00,,0,42,0.0,0.0
212,,0 days 00:00:00,5 days 04:52:00,,0,103,0.0,0.0
166,,0 days 00:00:00,2 days 12:14:00,,0,67,0.0,0.0
167,,0 days 00:00:00,2 days 10:07:00,,0,41,0.0,0.0
76,,0 days 00:00:00,4 days 11:29:00,,0,88,0.0,0.0
169,,0 days 00:00:00,1 days 19:11:00,,0,28,0.0,0.0
78,,0 days 00:00:00,5 days 00:53:00,,0,116,0.0,0.0
106,,0 days 00:00:00,3 days 04:27:00,,0,59,0.0,0.0
90,,0 days 00:00:00,4 days 23:06:00,,0,66,0.0,0.0
105,,0 days 00:00:00,7 days 18:24:00,,0,137,0.0,0.0
94,,0 days 00:00:00,4 days 03:33:00,,0,74,0.0,0.0
96,,0 days 00:00:00,1 days 02:13:00,,0,32,0.0,0.0
