Route,Service Hours Canceled,Service Hours Run,Trips Canceled,Trips Run,Percent of Service Hours Canceled,Percent of Trips Canceled
754,2 days 22:40:00,4 days 10:43:00,66,98,39.83839143098751,40.24390243902439
206,1 days 21:26:00,4 days 17:54:00,36,93,28.514644351464437,27.906976744186046
207,4 days 06:17:00,10 days 23:22:00,77,215,27.973016090067915,26.36986301369863
150,0 days 23:10:00,2 days 16:20:00,27,85,26.476190476190474,24.107142857142858
240,2 days 21:28:00,8 days 04:17:00,52,155,26.139855754154908,25.120772946859905
210,2 days 23:26:00,8 days 19:12:00,47,141,25.274206864016982,25.0
204,2 days 15:24:00,8 days 14:50:00,48,166,23.461206364869867,22.429906542056074
53,2 days 08:57:00,7 days 20:03:00,43,138,23.244897959183675,23.756906077348066
108,2 days 20:02:00,9 days 16:40:00,45,160,22.624986143443078,21.951219512195124
115,2 days 04:38:00,7 days 16:06:00,31,112,22.233173753872148,21.678321678321677
166,1 days 02:12:00,3 days 20:33:00,27,100,22.063157894736843,21.25984251968504
158,0 days 08:59:00,1 days 09:45:00,7,27,21.021840873634947,20.58823529411765
242/243,0 days 09:08:00,1 days 11:35:00,20,76,20.42489750279538,20.833333333333332
224/690,1 days 04:17:00,4 days 16:21:00,28,111,20.11140080587817,20.14388489208633
165,1 days 12:55:00,6 days 07:16:00,26,107,19.617394384908334,19.548872180451127
28,2 days 00:59:00,8 days 17:52:00,42,177,18.923443435709228,19.17808219178082
117,1 days 11:33:00,6 days 11:34:00,23,106,18.60120345338798,17.829457364341085
16,2 days 11:04:00,10 days 19:23:00,55,246,18.54817606112943,18.272425249169434
45,2 days 02:54:00,9 days 13:40:00,39,174,18.141855768088394,18.309859154929576
111,2 days 04:16:00,9 days 20:15:00,35,162,18.115649009300444,17.766497461928935
251,2 days 00:30:00,9 days 04:47:00,40,182,18.010769325988736,18.01801801801802
230,0 days 12:07:00,2 days 10:44:00,14,68,17.101858386262055,17.073170731707318
18,2 days 09:35:00,11 days 19:35:00,49,239,16.878358573522227,17.01388888888889
164,1 days 06:11:00,6 days 06:17:00,21,104,16.725157000369414,16.8
155,0 days 09:15:00,1 days 22:21:00,6,30,16.636690647482013,16.666666666666668
20,1 days 13:16:00,7 days 19:42:00,30,150,16.565417098829457,16.666666666666668
162,1 days 09:09:00,7 days 03:06:00,22,121,16.230110159118727,15.384615384615385
2,2 days 19:17:00,14 days 14:57:00,37,207,16.08751095879493,15.163934426229508
14/37,1 days 12:32:00,8 days 04:01:00,26,132,15.709883179244606,16.455696202531644
10/48,1 days 03:20:00,6 days 02:48:00,21,113,15.69678407350689,15.671641791044776
Metro J Line (Silver) 910/950,2 days 02:15:00,11 days 07:10:00,49,238,15.633912367124708,17.073170731707318
105,1 days 17:15:00,10 days 02:34:00,32,167,14.534030183804099,16.08040201005025
260,1 days 10:28:00,8 days 19:27:00,20,120,14.015587936292782,14.285714285714286
266,0 days 21:45:00,5 days 18:11:00,14,85,13.599416423509796,14.141414141414142
76,0 days 22:35:00,6 days 01:40:00,18,110,13.42248637939574,14.0625
152,1 days 00:55:00,7 days 00:24:00,17,122,12.889042158806793,12.23021582733813
233,1 days 04:03:00,7 days 22:00:00,27,174,12.864022013299701,13.432835820895523
66,1 days 06:35:00,8 days 15:19:00,26,178,12.855541544066135,12.745098039215685
70,1 days 21:26:00,13 days 04:10:00,31,224,12.56452802359882,12.156862745098039
40,2 days 01:17:00,14 days 07:48:00,28,181,12.537629849480602,13.397129186602871
154,0 days 03:34:00,1 days 01:03:00,4,28,12.463599301106582,12.5
90,1 days 00:45:00,7 days 06:02:00,13,88,12.450742013918001,12.871287128712872
81,1 days 02:46:00,7 days 21:25:00,16,115,12.381466348007093,12.213740458015268
232,0 days 21:03:00,6 days 05:12:00,12,84,12.364170337738619,12.5
617,0 days 04:21:00,1 days 07:14:00,5,44,12.224824355971897,10.204081632653061
720,2 days 06:42:00,17 days 02:06:00,43,314,11.768502581755595,12.044817927170868
234,1 days 00:43:00,7 days 21:57:00,24,175,11.513975155279503,12.06030150753769
205,0 days 13:44:00,4 days 19:37:00,7,61,10.617188506635744,10.294117647058824
690,0 days 06:10:00,2 days 05:09:00,7,63,10.396178701882551,10.0
51,1 days 12:02:00,12 days 23:11:00,32,268,10.377766044256708,10.666666666666666
94,0 days 18:29:00,6 days 21:25:00,12,116,10.050752220409644,9.375
33,1 days 15:56:00,15 days 07:28:00,24,236,9.801996399934545,9.23076923076923
4,2 days 02:56:00,19 days 21:58:00,29,261,9.630049788869982,10.0
Metro G Line (Orange) 901,0 days 21:15:00,8 days 11:42:00,27,253,9.446543676372528,9.642857142857142
55,0 days 15:30:00,6 days 06:37:00,13,135,9.330791612320658,8.783783783783784
217,0 days 17:54:00,7 days 14:09:00,18,185,8.947763059235191,8.866995073891626
92,0 days 15:47:00,6 days 23:49:00,12,99,8.596586782861293,10.81081081081081
110,0 days 13:25:00,7 days 12:51:00,8,116,6.906314344543583,6.451612903225806
180,0 days 18:54:00,10 days 20:10:00,15,190,6.7725752508361206,7.317073170731708
128,0 days 02:16:00,1 days 08:44:00,2,31,6.476190476190476,6.0606060606060606
294,0 days 03:33:00,2 days 08:23:00,4,67,5.923248053392658,5.633802816901408
60,0 days 20:11:00,13 days 20:03:00,16,248,5.730103151320147,6.0606060606060606
30,0 days 12:28:00,8 days 17:29:00,13,215,5.616880678831569,5.701754385964913
35/38,0 days 06:01:00,4 days 13:14:00,5,125,5.220535068691251,3.8461538461538463
161,0 days 02:25:00,1 days 22:21:00,2,40,4.9555707450444295,4.761904761904762
78,0 days 09:44:00,8 days 02:18:00,9,182,4.770462342754452,4.712041884816754
106,0 days 06:07:00,5 days 16:35:00,5,102,4.286381686521841,4.672897196261682
577,0 days 02:16:00,2 days 07:42:00,2,54,3.9102932719953998,3.5714285714285716
125,0 days 05:10:00,5 days 17:44:00,3,84,3.6155819920690457,3.4482758620689653
222,0 days 02:22:00,2 days 18:36:00,2,70,3.431609473175447,2.7777777777777777
605,0 days 01:21:00,1 days 22:00:00,3,107,2.851108764519535,2.727272727272727
182,0 days 02:00:00,2 days 21:23:00,2,72,2.801774457156199,2.7027027027027026
179,0 days 01:22:00,1 days 23:50:00,2,71,2.7777777777777777,2.73972602739726
761,0 days 05:43:00,9 days 09:12:00,3,120,2.4756405629736555,2.4390243902439024
344,0 days 01:04:00,1 days 23:30:00,1,48,2.1962937542896364,2.0408163265306123
