Route,Service Hours Canceled,Service Hours Run,Trips Canceled,Trips Run,Percent of Service Hours Canceled,Percent of Trips Canceled
601,0 days 05:51:00,0 days 17:35:00,28,86,24.964438122332858,24.56140350877193
754,1 days 10:35:00,4 days 20:40:00,31,109,22.865013774104682,22.142857142857142
207,2 days 19:18:00,10 days 18:14:00,52,212,20.67376612738071,19.696969696969695
240,1 days 22:13:00,7 days 12:50:00,34,144,20.35528150921236,19.10112359550562
720,2 days 19:48:00,14 days 17:23:00,52,270,16.09750306675636,16.149068322981368
30,1 days 07:40:00,6 days 21:08:00,33,169,16.09078590785908,16.336633663366335
232,1 days 01:43:00,6 days 00:32:00,14,82,15.105237395986295,14.583333333333334
18,1 days 18:27:00,11 days 05:53:00,35,228,13.591248665955176,13.307984790874524
125,0 days 18:39:00,5 days 04:15:00,11,76,13.05108467459762,12.64367816091954
210,1 days 10:08:00,9 days 13:39:00,21,155,12.939912807228154,11.931818181818182
205,0 days 16:27:00,4 days 16:54:00,8,60,12.717433320448396,11.764705882352942
45,1 days 08:24:00,9 days 06:50:00,24,170,12.694266684079928,12.371134020618557
266,0 days 20:01:00,5 days 19:55:00,12,87,12.51563151313047,12.121212121212121
10/48,0 days 20:08:00,5 days 20:55:00,15,110,12.501293594121908,12.0
35/38,0 days 14:23:00,4 days 04:52:00,17,113,12.480115690527837,13.076923076923077
28,1 days 02:14:00,7 days 18:35:00,21,158,12.326728796303547,11.731843575418994
128,0 days 04:15:00,1 days 06:45:00,4,29,12.142857142857142,12.121212121212121
130,0 days 03:29:00,1 days 04:00:00,5,44,11.064055055584966,10.204081632653061
14/37,1 days 00:23:00,8 days 09:05:00,16,137,10.814606741573034,10.457516339869281
108,1 days 03:44:00,9 days 16:23:00,18,156,10.661882488626897,10.344827586206897
60,1 days 07:36:00,12 days 14:20:00,24,226,9.462966660011979,9.6
53,0 days 20:18:00,8 days 07:20:00,15,147,9.242677189254819,9.25925925925926
150,0 days 06:58:00,2 days 21:59:00,8,92,9.053497942386832,8.0
162,0 days 15:08:00,6 days 12:16:00,10,111,8.829249319331,8.264462809917354
603,0 days 17:23:00,7 days 15:58:00,14,142,8.63339127555666,8.974358974358974
105,1 days 00:01:00,10 days 14:58:00,16,180,8.608638508871497,8.16326530612245
244,0 days 03:26:00,1 days 12:35:00,6,64,8.57975843398584,8.571428571428571
40,1 days 05:25:00,13 days 09:29:00,15,173,8.383205091669042,7.9787234042553195
16,0 days 23:38:00,11 days 03:06:00,23,252,8.128869525338224,8.363636363636363
111,0 days 20:10:00,9 days 14:04:00,11,160,8.059144798188358,6.432748538011696
161,0 days 03:15:00,1 days 13:19:00,3,32,8.01150369761709,8.571428571428571
217,0 days 13:00:00,6 days 16:01:00,12,165,7.513727001252287,6.779661016949152
577,0 days 04:10:00,2 days 05:48:00,4,52,7.18803910293272,7.142857142857143
20,0 days 13:39:00,7 days 13:47:00,11,146,6.984478935698448,7.006369426751593
204,0 days 16:12:00,9 days 03:35:00,13,175,6.870714639146109,6.914893617021277
2,1 days 01:28:00,14 days 11:05:00,14,204,6.8357714848118825,6.422018348623853
206,0 days 09:49:00,5 days 13:53:00,8,109,6.831361633031779,6.837606837606837
158,0 days 02:43:00,1 days 16:01:00,2,32,6.357254290171607,5.882352941176471
115,0 days 13:11:00,8 days 10:15:00,8,122,6.119449172211048,6.153846153846154
51,0 days 19:46:00,12 days 16:41:00,17,263,6.092361432167257,6.071428571428571
70,0 days 17:13:00,11 days 05:39:00,12,192,6.001626772019521,5.882352941176471
166,0 days 05:52:00,3 days 21:11:00,6,101,5.922934544842672,5.607476635514018
33,0 days 17:48:00,12 days 21:59:00,11,200,5.43041643361977,5.213270142180095
92,0 days 07:53:00,5 days 20:10:00,8,75,5.3247776652031975,9.63855421686747
55,0 days 07:52:00,5 days 20:33:00,7,126,5.300393037619315,5.2631578947368425
164,0 days 06:26:00,5 days 01:34:00,5,84,5.026041666666667,5.617977528089888
167,0 days 02:54:00,2 days 08:14:00,2,39,4.904171364148816,4.878048780487805
224/690,0 days 06:09:00,5 days 04:27:00,6,123,4.7090352220520675,4.651162790697675
251,0 days 11:32:00,9 days 21:45:00,9,191,4.6265962425620115,4.5
4,0 days 18:05:00,16 days 16:52:00,9,223,4.3163464216095795,3.8793103448275863
501,0 days 02:30:00,2 days 20:38:00,3,79,3.514526710402999,3.658536585365854
233,0 days 06:14:00,7 days 08:31:00,6,162,3.4108527131782944,3.5714285714285716
76,0 days 04:09:00,5 days 10:36:00,3,101,3.079777365491651,2.8846153846153846
106,0 days 04:23:00,5 days 18:20:00,3,104,3.0713534976059793,2.803738317757009
152,0 days 05:11:00,6 days 23:33:00,4,121,3.000771902740255,3.2
165,0 days 04:34:00,6 days 11:50:00,3,111,2.8470490440565253,2.6315789473684212
460,0 days 03:52:00,5 days 12:15:00,2,66,2.8407003795763437,2.9411764705882355
110,0 days 04:21:00,6 days 07:13:00,3,96,2.796228840797086,3.0303030303030303
237,0 days 01:38:00,2 days 09:03:00,1,37,2.783300198807157,2.6315789473684212
212,0 days 04:23:00,7 days 00:21:00,3,136,2.537630258587418,2.158273381294964
96,0 days 00:56:00,1 days 15:28:00,1,42,2.31023102310231,2.3255813953488373
117,0 days 03:19:00,6 days 02:15:00,2,100,2.2175172721194563,1.9607843137254901
344,0 days 00:54:00,1 days 16:40:00,1,41,2.165196471531676,2.380952380952381
260,0 days 04:38:00,9 days 00:57:00,3,123,2.09101165851824,2.380952380952381
246,0 days 01:05:00,2 days 10:21:00,1,67,1.8227706113292204,1.4705882352941178
Metro J Line (Silver) 910/950,0 days 02:47:00,10 days 10:05:00,2,226,1.100711837595571,0.8771929824561403
66,0 days 02:08:00,8 days 08:25:00,2,172,1.0532378836501275,1.1494252873563218
180,0 days 01:34:00,9 days 21:29:00,1,176,0.655371958446629,0.5649717514124294
686,0 days 00:00:00,0 days 12:00:00,0,34,0.0,0.0
605,0 days 00:00:00,1 days 23:21:00,0,110,0.0,0.0
602,0 days 00:00:00,1 days 16:18:00,0,60,0.0,0.0
Metro G Line (Orange) 901,0 days 00:00:00,8 days 11:20:00,0,254,0.0,0.0
78,0 days 00:00:00,7 days 05:29:00,0,163,0.0,0.0
81,0 days 00:00:00,8 days 02:24:00,0,119,0.0,0.0
690,0 days 00:00:00,1 days 11:35:00,0,42,0.0,0.0
94,0 days 00:00:00,7 days 07:18:00,0,122,0.0,0.0
90,0 days 00:00:00,5 days 10:17:00,0,68,0.0,0.0
611,0 days 00:00:00,1 days 17:09:00,0,36,0.0,0.0
761,0 days 00:00:00,7 days 10:57:00,0,96,0.0,0.0
62,0 days 00:00:00,3 days 20:10:00,0,49,0.0,0.0
660,0 days 00:00:00,1 days 03:00:00,0,77,0.0,0.0
662,0 days 00:00:00,1 days 20:08:00,0,46,0.0,0.0
665,0 days 00:00:00,0 days 11:22:00,0,32,0.0,0.0
617,0 days 00:00:00,1 days 05:05:00,0,41,0.0,0.0
169,0 days 00:00:00,2 days 22:28:00,0,36,0.0,0.0
550,0 days 00:00:00,1 days 10:49:00,0,38,0.0,0.0
534,0 days 00:00:00,1 days 14:39:00,0,39,0.0,0.0
179,0 days 00:00:00,1 days 16:48:00,0,61,0.0,0.0
182,0 days 00:00:00,2 days 23:23:00,0,74,0.0,0.0
202,0 days 00:00:00,0 days 20:06:00,0,29,0.0,0.0
209,0 days 00:00:00,1 days 00:12:00,0,32,0.0,0.0
211/215,0 days 00:00:00,0 days 21:40:00,0,20,0.0,0.0
218,0 days 00:00:00,1 days 00:51:00,0,38,0.0,0.0
222,0 days 00:00:00,1 days 19:01:00,0,39,0.0,0.0
230,0 days 00:00:00,2 days 05:07:00,0,62,0.0,0.0
234,0 days 00:00:00,7 days 13:59:00,0,169,0.0,0.0
236/235,0 days 00:00:00,2 days 18:27:00,0,66,0.0,0.0
242/243,0 days 00:00:00,1 days 20:43:00,0,96,0.0,0.0
102,0 days 00:00:00,2 days 07:46:00,0,40,0.0,0.0
256,0 days 00:00:00,2 days 06:04:00,0,41,0.0,0.0
258,0 days 00:00:00,2 days 16:25:00,0,40,0.0,0.0
265,0 days 00:00:00,1 days 10:57:00,0,32,0.0,0.0
267,0 days 00:00:00,1 days 08:56:00,0,45,0.0,0.0
268,0 days 00:00:00,0 days 23:35:00,0,34,0.0,0.0
155,0 days 00:00:00,2 days 07:36:00,0,36,0.0,0.0
287,0 days 00:00:00,1 days 11:04:00,0,38,0.0,0.0
294,0 days 00:00:00,2 days 11:56:00,0,71,0.0,0.0
154,0 days 00:00:00,1 days 04:37:00,0,32,0.0,0.0
177,0 days 00:00:00,0 days 14:24:00,0,32,0.0,0.0
127,0 days 00:00:00,2 days 07:56:00,0,57,0.0,0.0
