Route,Service Hours Canceled,Service Hours Run,Trips Canceled,Trips Run,Percent of Service Hours Canceled,Percent of Trips Canceled
81,2 days 05:46:00,4 days 18:25:00,31,74,31.969081359627392,29.523809523809526
164,1 days 02:56:00,2 days 11:41:00,20,45,31.094862420627283,30.76923076923077
169,0 days 12:22:00,1 days 06:49:00,8,20,28.637591663450404,28.571428571428573
256,0 days 13:56:00,1 days 12:49:00,10,28,27.454844006568145,26.31578947368421
210,2 days 14:23:00,8 days 08:25:00,41,140,23.73795027904617,22.65193370165746
180,2 days 00:40:00,6 days 18:26:00,35,127,23.053844939207327,21.604938271604937
207,2 days 06:51:00,7 days 15:08:00,45,162,23.047832481266195,21.73913043478261
45,2 days 06:21:00,7 days 13:58:00,42,148,22.998801043797165,22.105263157894736
204,1 days 23:56:00,6 days 21:09:00,39,142,22.495111458740713,21.54696132596685
240,1 days 15:54:00,6 days 02:21:00,32,117,21.42281879194631,21.476510067114095
18,2 days 07:41:00,9 days 08:05:00,47,198,19.903491004408437,19.183673469387756
16,1 days 23:30:00,8 days 00:56:00,46,193,19.755996118120063,19.246861924686193
2,2 days 11:20:00,11 days 00:40:00,35,159,18.31275720164609,18.04123711340206
233,1 days 07:19:00,5 days 20:55:00,31,134,18.18269789045868,18.78787878787879
230,0 days 08:25:00,1 days 15:39:00,10,45,17.510402219140083,18.181818181818183
150,0 days 10:47:00,2 days 03:32:00,13,70,17.304092003209416,15.662650602409638
53,1 days 04:18:00,5 days 15:38:00,21,104,17.263115087433917,16.8
166,0 days 09:32:00,2 days 02:42:00,10,57,15.827338129496402,14.925373134328359
40,1 days 20:02:00,10 days 03:48:00,24,136,15.298204979733642,15.0
165,0 days 13:17:00,3 days 01:59:00,10,56,15.221543162719634,15.151515151515152
108,1 days 01:36:00,6 days 03:58:00,18,102,14.749375840215095,15.0
92,0 days 20:10:00,4 days 20:37:00,10,70,14.743511636407945,12.5
217,0 days 19:46:00,4 days 20:20:00,21,120,14.523634582414891,14.893617021276595
115,0 days 20:16:00,5 days 05:43:00,12,78,13.882863340563992,13.333333333333334
754,0 days 17:17:00,4 days 13:00:00,17,108,13.686155470502838,13.6
266,0 days 13:19:00,3 days 15:59:00,9,59,13.145771635406383,13.235294117647058
690,0 days 07:41:00,2 days 03:38:00,9,61,12.953076706940152,12.857142857142858
125,0 days 10:54:00,3 days 05:04:00,7,51,12.391057218643425,12.068965517241379
10/48,0 days 13:51:00,4 days 05:32:00,9,78,12.003466705185613,10.344827586206897
117,0 days 11:33:00,3 days 12:45:00,8,63,11.993769470404985,11.267605633802816
76,0 days 14:01:00,4 days 07:30:00,12,84,11.927386186356545,12.5
Metro G Line (Orange) 901,0 days 19:21:00,6 days 07:11:00,25,193,11.346755277560595,11.46788990825688
152,0 days 14:44:00,4 days 20:37:00,11,90,11.216850653470372,10.891089108910892
206,0 days 11:49:00,4 days 00:06:00,10,81,10.94980694980695,10.989010989010989
534,0 days 04:07:00,1 days 09:45:00,4,34,10.871478873239436,10.526315789473685
232,0 days 12:00:00,4 days 02:29:00,7,58,10.861366721979183,10.76923076923077
94,0 days 11:16:00,4 days 01:02:00,8,72,10.403200984918437,10.0
605,0 days 03:22:00,1 days 05:20:00,8,73,10.295616717635067,9.876543209876543
158,0 days 03:35:00,1 days 07:36:00,3,27,10.184746565608716,10.0
