Route,Service Hours Canceled,Service Hours Run,Trips Canceled,Trips Run,Percent of Service Hours Canceled,Percent of Trips Canceled
45,2 days 10:58:00,7 days 09:21:00,48,142,24.952394386063897,25.263157894736842
204,2 days 05:01:00,6 days 16:04:00,43,138,24.880719593273366,23.756906077348066
40,2 days 22:04:00,9 days 01:46:00,38,122,24.342790966994787,23.75
206,1 days 00:54:00,3 days 11:01:00,21,70,23.07335907335907,23.076923076923077
210,2 days 02:33:00,8 days 20:15:00,34,147,19.235159817351597,18.784530386740332
232,0 days 19:52:00,3 days 18:37:00,11,54,17.98159601749887,16.923076923076923
266,0 days 18:04:00,3 days 11:14:00,12,56,17.834814083580124,17.647058823529413
754,0 days 22:10:00,4 days 08:07:00,22,103,17.553121288108752,17.6
207,1 days 17:42:00,8 days 04:17:00,35,172,17.52223545066181,16.908212560386474
217,0 days 23:01:00,4 days 17:05:00,22,119,16.911584619152585,15.602836879432624
81,1 days 03:50:00,5 days 20:21:00,17,88,16.54940045585175,16.19047619047619
115,0 days 23:53:00,5 days 02:06:00,15,75,16.36031510446398,16.666666666666668
20,1 days 05:08:00,6 days 06:15:00,25,130,16.240825048778223,16.129032258064516
165,0 days 12:17:00,3 days 02:59:00,9,57,14.07563025210084,13.636363636363637
30,0 days 22:08:00,6 days 03:02:00,22,157,13.083743842364532,12.29050279329609
125,0 days 10:43:00,3 days 05:15:00,7,51,12.18264494126563,12.068965517241379
111,0 days 20:02:00,6 days 06:43:00,18,112,11.732552464616886,13.846153846153847
152,0 days 15:23:00,4 days 19:58:00,12,89,11.711711711711711,11.881188118811881
66,0 days 15:21:00,5 days 05:27:00,14,114,10.901988636363637,10.9375
108,0 days 18:39:00,6 days 10:55:00,13,107,10.7451507585942,10.833333333333334
53,0 days 17:31:00,6 days 02:25:00,13,112,10.68523790158601,10.4
18,1 days 05:27:00,10 days 10:19:00,27,218,10.526629333968783,11.020408163265307
251,0 days 23:05:00,8 days 06:01:00,17,171,10.440223126790292,9.042553191489361
16,1 days 00:23:00,9 days 00:03:00,24,215,10.141411340634965,10.0418410041841
162,0 days 14:53:00,5 days 12:11:00,12,98,10.120126926563916,10.909090909090908
180,0 days 20:45:00,7 days 22:21:00,16,146,9.829464708668878,9.876543209876543
240,0 days 18:08:00,7 days 00:07:00,14,135,9.736017897091722,9.395973154362416
Metro G Line (Orange) 901,0 days 16:20:00,6 days 10:12:00,20,198,9.577795152462862,9.174311926605505
720,1 days 02:41:00,10 days 20:55:00,22,219,9.277932313398239,9.12863070539419
690,0 days 05:29:00,2 days 05:50:00,6,64,9.244169710592864,8.571428571428571
2,1 days 03:04:00,12 days 08:56:00,15,179,8.353909465020577,7.731958762886598
164,0 days 06:42:00,3 days 07:55:00,5,60,7.735231864537233,7.6923076923076925
33,0 days 21:41:00,11 days 00:07:00,13,179,7.5868905994868205,6.770833333333333
70,0 days 15:39:00,9 days 09:13:00,13,171,6.497370606144479,7.065217391304348
212,0 days 09:04:00,6 days 01:23:00,7,119,5.870292435523902,5.555555555555555
106,0 days 04:29:00,2 days 23:58:00,3,56,5.864399389579246,5.084745762711864
4,0 days 20:51:00,14 days 15:37:00,13,213,5.597816359405764,5.752212389380531
94,0 days 06:02:00,4 days 06:16:00,5,75,5.570944906124962,6.25
Metro J Line (Silver) 910/950,0 days 08:42:00,6 days 06:44:00,10,131,5.456826259669663,7.092198581560283
76,0 days 06:20:00,4 days 15:11:00,6,90,5.389306481350163,6.25
605,0 days 01:40:00,1 days 07:02:00,4,77,5.096839959225281,4.938271604938271
237,0 days 02:47:00,2 days 04:58:00,2,34,4.992526158445441,5.555555555555555
14/37,0 days 08:03:00,6 days 17:48:00,6,118,4.739476008242567,4.838709677419355
28,0 days 07:54:00,6 days 20:27:00,8,148,4.583695967507978,5.128205128205129
35/38,0 days 03:36:00,3 days 10:24:00,4,95,4.186046511627907,4.040404040404041
117,0 days 03:51:00,3 days 20:27:00,3,68,3.9979231568016615,4.225352112676056
260,0 days 05:05:00,5 days 18:59:00,3,81,3.5284590467376216,3.5714285714285716
78,0 days 03:34:00,4 days 21:19:00,3,113,2.950503240038605,2.586206896551724
660,0 days 00:42:00,1 days 01:34:00,2,73,2.66497461928934,2.6666666666666665
105,0 days 04:45:00,7 days 13:39:00,3,134,2.5482832618025753,2.18978102189781
233,0 days 04:10:00,7 days 00:04:00,4,161,2.419198761370234,2.4242424242424243
110,0 days 01:34:00,3 days 16:41:00,1,61,1.7359187442289936,1.6129032258064515
62,0 days 01:09:00,3 days 02:44:00,1,42,1.5154842960685262,2.3255813953488373
