Route,Service Hours Canceled,Service Hours Run,Trips Canceled,Trips Run,Percent of Service Hours Canceled,Percent of Trips Canceled
754,2 days 14:47:00,4 days 18:36:00,59,105,35.39415578314385,35.97560975609756
204,3 days 20:12:00,7 days 10:02:00,71,143,34.11866288392747,33.177570093457945
111,3 days 13:20:00,8 days 11:11:00,57,140,29.576569811102768,28.934010152284262
40,4 days 20:14:00,11 days 12:51:00,61,148,29.569641721433115,29.1866028708134
206,1 days 23:02:00,4 days 16:18:00,37,92,29.518828451882847,28.68217054263566
240,3 days 04:45:00,7 days 21:00:00,58,149,28.88052681091251,28.019323671497585
150,0 days 22:55:00,2 days 16:35:00,26,86,26.19047619047619,23.214285714285715
152,2 days 02:11:00,5 days 23:08:00,34,105,25.95913440813863,24.46043165467626
207,3 days 20:55:00,11 days 08:44:00,73,219,25.41136788367747,25.0
232,1 days 18:11:00,5 days 08:04:00,23,73,24.777288301517377,23.958333333333332
81,2 days 03:54:00,6 days 20:17:00,31,100,24.00740112558785,23.66412213740458
217,1 days 23:24:00,6 days 08:39:00,47,156,23.69407648087978,23.15270935960591
18,3 days 07:05:00,10 days 22:05:00,65,223,23.180263800683928,22.569444444444443
70,3 days 09:41:00,11 days 15:55:00,57,198,22.589417404129794,22.352941176470587
166,1 days 02:43:00,3 days 20:02:00,28,99,22.49824561403509,22.04724409448819
45,2 days 15:02:00,9 days 01:32:00,46,167,22.466436972793158,21.5962441314554
14/37,2 days 03:17:00,7 days 13:16:00,36,122,22.05260517451444,22.78481012658228
210,2 days 13:21:00,9 days 05:17:00,40,148,21.706569170892795,21.27659574468085
162,1 days 20:05:00,6 days 16:10:00,31,112,21.583027335781313,21.678321678321677
158,0 days 09:13:00,1 days 09:31:00,7,27,21.567862714508582,20.58823529411765
55,1 days 08:05:00,5 days 14:02:00,27,121,19.313735326577707,18.243243243243242
165,1 days 12:13:00,6 days 07:58:00,25,108,19.245416703569216,18.796992481203006
108,2 days 09:04:00,10 days 03:38:00,38,167,18.977940361379005,18.536585365853657
256,0 days 10:07:00,1 days 19:57:00,8,33,18.711467324291,19.51219512195122
236,0 days 12:21:00,2 days 06:06:00,12,54,18.585402558314524,18.181818181818183
2,3 days 05:10:00,14 days 05:04:00,43,201,18.450625647565154,17.62295081967213
66,1 days 17:47:00,8 days 04:07:00,37,167,17.563401989631497,18.137254901960784
251,1 days 23:17:00,9 days 06:00:00,39,183,17.558952775886613,17.56756756756757
94,1 days 08:16:00,6 days 07:38:00,22,106,17.545767627333696,17.1875
16,2 days 06:29:00,10 days 23:58:00,50,251,17.108912963835245,16.611295681063122
242/243,0 days 07:35:00,1 days 13:08:00,17,79,16.958628401043608,17.708333333333332
35/38,0 days 19:21:00,3 days 23:54:00,27,103,16.789587852494577,20.76923076923077
169,0 days 11:12:00,2 days 11:16:00,5,31,15.894039735099337,13.88888888888889
20,1 days 11:39:00,7 days 21:19:00,28,152,15.846792117350718,15.555555555555555
230,0 days 11:07:00,2 days 11:44:00,13,69,15.690425782168901,15.853658536585366
534,0 days 07:11:00,1 days 15:11:00,7,40,15.492451473759886,14.893617021276595
234,1 days 08:58:00,7 days 13:42:00,29,170,15.357142857142858,14.57286432160804
180,1 days 18:08:00,9 days 20:56:00,32,173,15.097945532728142,15.609756097560975
28,1 days 14:06:00,9 days 04:45:00,34,185,14.71894919837744,15.525114155251142
