Route,Service Hours Canceled,Service Hours Run,Trips Canceled,Trips Run,Percent of Service Hours Canceled,Percent of Trips Canceled
177,0 days 05:24:00,0 days 09:00:00,12,20,37.5,37.5
2,3 days 13:29:00,11 days 23:04:00,49,169,22.945465932984387,22.477064220183486
40,2 days 10:53:00,12 days 04:01:00,31,157,16.780659257148287,16.48936170212766
501,0 days 11:31:00,2 days 11:37:00,13,69,16.19025304592315,15.853658536585366
210,1 days 14:18:00,9 days 09:29:00,26,150,14.519492007329248,14.772727272727273
577,0 days 08:14:00,2 days 01:44:00,8,48,14.203565267395055,14.285714285714286
266,0 days 22:34:00,5 days 17:22:00,14,85,14.110045852438516,14.141414141414142
14/37,1 days 04:13:00,8 days 05:15:00,18,135,12.51478415138971,11.764705882352942
117,0 days 18:14:00,5 days 11:20:00,13,89,12.190773345219522,12.745098039215685
167,0 days 07:12:00,2 days 03:56:00,5,36,12.17587373167982,12.195121951219512
761,0 days 20:52:00,6 days 14:05:00,11,85,11.660612834124988,11.458333333333334
35/38,0 days 12:59:00,4 days 06:16:00,17,113,11.265365148228488,13.076923076923077
244,0 days 04:31:00,1 days 12:05:00,8,63,11.124794745484401,11.267605633802816
18,1 days 10:22:00,11 days 13:58:00,30,233,11.003201707577375,11.406844106463879
60,1 days 11:22:00,12 days 10:34:00,29,221,10.590936314633659,11.6
240,0 days 23:20:00,8 days 11:43:00,17,161,10.27673786977905,9.55056179775281
204,0 days 23:39:00,8 days 20:08:00,18,170,10.030395136778116,9.574468085106384
165,0 days 15:42:00,6 days 00:39:00,11,103,9.791082008107265,9.649122807017545
45,1 days 00:55:00,9 days 14:19:00,18,176,9.762308998302208,9.278350515463918
224/690,0 days 12:40:00,4 days 21:56:00,13,116,9.698825931597755,10.077519379844961
205,0 days 12:30:00,4 days 20:51:00,6,62,9.663703131039814,8.823529411764707
51,1 days 06:52:00,12 days 05:35:00,27,253,9.51353572712796,9.642857142857142
4,1 days 13:49:00,15 days 21:08:00,21,211,9.026534590444365,9.051724137931034
105,1 days 00:59:00,10 days 14:00:00,17,179,8.955134715335443,8.673469387755102
164,0 days 10:25:00,4 days 21:35:00,7,82,8.138020833333334,7.865168539325842
720,1 days 08:49:00,16 days 04:22:00,25,297,7.791539709548494,7.763975155279503
10/48,0 days 12:05:00,6 days 04:58:00,10,115,7.502845907068198,8.0
30,0 days 13:45:00,7 days 15:03:00,14,188,6.986788617886178,6.930693069306931
96,0 days 02:38:00,1 days 13:46:00,3,40,6.518151815181518,6.976744186046512
92,0 days 09:29:00,5 days 18:34:00,5,78,6.405493639536193,6.024096385542169
115,0 days 13:20:00,8 days 10:08:00,9,121,6.188118811881188,6.923076923076923
28,0 days 12:36:00,8 days 08:13:00,10,169,5.920588926305897,5.58659217877095
218,0 days 01:22:00,0 days 23:29:00,2,36,5.499664654594232,5.2631578947368425
237,0 days 03:03:00,2 days 07:38:00,2,36,5.197387105935814,5.2631578947368425
162,0 days 08:44:00,6 days 18:40:00,6,115,5.095293660054454,4.958677685950414
605,0 days 02:15:00,1 days 21:06:00,5,105,4.7518479408658925,4.545454545454546
53,0 days 10:16:00,8 days 17:22:00,7,155,4.674457429048414,4.320987654320987
234,0 days 08:06:00,7 days 05:53:00,7,162,4.450957047348658,4.1420118343195265
152,0 days 06:18:00,6 days 22:26:00,5,120,3.6472404477035893,4.0
16,0 days 10:26:00,11 days 16:18:00,10,265,3.588626461820683,3.6363636363636362
33,0 days 11:14:00,13 days 04:33:00,6,205,3.427060558295622,2.843601895734597
20,0 days 06:34:00,7 days 20:52:00,5,152,3.360054579566775,3.1847133757961785
233,0 days 05:59:00,7 days 08:46:00,5,163,3.2740538075695396,2.9761904761904763
207,0 days 10:22:00,13 days 03:10:00,8,256,3.1845177145197625,3.0303030303030303
90,0 days 03:58:00,5 days 06:19:00,2,66,3.0446462837405655,2.9411764705882355
230,0 days 01:34:00,2 days 03:33:00,2,60,2.9494822717288987,3.225806451612903
150,0 days 02:15:00,3 days 02:42:00,3,97,2.9239766081871346,3.0
94,0 days 04:48:00,7 days 02:30:00,3,119,2.738163148887621,2.459016393442623
294,0 days 01:34:00,2 days 10:22:00,2,69,2.6140155728587318,2.816901408450704
344,0 days 00:53:00,1 days 16:41:00,1,41,2.125100240577386,2.380952380952381
217,0 days 02:48:00,7 days 02:13:00,4,173,1.6183412002697235,2.2598870056497176
55,0 days 02:24:00,6 days 02:01:00,2,131,1.6170690623245367,1.5037593984962405
179,0 days 00:39:00,1 days 16:09:00,1,60,1.5931372549019607,1.639344262295082
81,0 days 02:20:00,8 days 00:06:00,2,117,1.2000685753471627,1.680672268907563
251,0 days 01:34:00,10 days 08:00:00,1,200,0.627754774943235,0.4975124378109453
70,0 days 01:34:00,11 days 21:18:00,1,203,0.5461306065535673,0.49019607843137253
110,0 days 00:00:00,6 days 11:34:00,0,99,0.0,0.0
601,0 days 00:00:00,0 days 23:26:00,0,114,0.0,0.0
Metro G Line (Orange) 901,0 days 00:00:00,8 days 11:20:00,0,254,0.0,0.0
111,0 days 00:00:00,10 days 10:14:00,0,171,0.0,0.0
602,0 days 00:00:00,1 days 16:24:00,0,60,0.0,0.0
550,0 days 00:00:00,1 days 10:49:00,0,38,0.0,0.0
603,0 days 00:00:00,8 days 09:21:00,0,156,0.0,0.0
534,0 days 00:00:00,1 days 14:39:00,0,39,0.0,0.0
Metro J Line (Silver) 910/950,0 days 00:00:00,10 days 12:52:00,0,228,0.0,0.0
78,0 days 00:00:00,7 days 05:29:00,0,163,0.0,0.0
611,0 days 00:00:00,1 days 17:09:00,0,36,0.0,0.0
617,0 days 00:00:00,1 days 05:05:00,0,41,0.0,0.0
62,0 days 00:00:00,3 days 20:10:00,0,49,0.0,0.0
106,0 days 00:00:00,5 days 22:43:00,0,107,0.0,0.0
660,0 days 00:00:00,1 days 03:00:00,0,77,0.0,0.0
662,0 days 00:00:00,1 days 20:32:00,0,47,0.0,0.0
665,0 days 00:00:00,0 days 11:22:00,0,32,0.0,0.0
686,0 days 00:00:00,0 days 12:00:00,0,34,0.0,0.0
690,0 days 00:00:00,1 days 11:35:00,0,42,0.0,0.0
108,0 days 00:00:00,10 days 20:07:00,0,174,0.0,0.0
754,0 days 00:00:00,6 days 07:15:00,0,140,0.0,0.0
76,0 days 00:00:00,5 days 14:45:00,0,104,0.0,0.0
66,0 days 00:00:00,8 days 10:33:00,0,174,0.0,0.0
169,0 days 00:00:00,2 days 22:28:00,0,36,0.0,0.0
120,0 days 00:00:00,3 days 05:55:00,0,40,0.0,0.0
242/243,0 days 00:00:00,1 days 20:43:00,0,96,0.0,0.0
180,0 days 00:00:00,9 days 23:03:00,0,177,0.0,0.0
182,0 days 00:00:00,2 days 23:23:00,0,74,0.0,0.0
161,0 days 00:00:00,1 days 16:34:00,0,35,0.0,0.0
202,0 days 00:00:00,0 days 20:06:00,0,29,0.0,0.0
158,0 days 00:00:00,1 days 18:44:00,0,34,0.0,0.0
206,0 days 00:00:00,5 days 23:42:00,0,117,0.0,0.0
209,0 days 00:00:00,1 days 00:12:00,0,32,0.0,0.0
155,0 days 00:00:00,2 days 07:36:00,0,36,0.0,0.0
211/215,0 days 00:00:00,0 days 21:40:00,0,20,0.0,0.0
212,0 days 00:00:00,7 days 04:44:00,0,139,0.0,0.0
222,0 days 00:00:00,1 days 19:01:00,0,39,0.0,0.0
154,0 days 00:00:00,1 days 04:37:00,0,32,0.0,0.0
232,0 days 00:00:00,7 days 02:15:00,0,96,0.0,0.0
236/235,0 days 00:00:00,2 days 18:27:00,0,66,0.0,0.0
102,0 days 00:00:00,2 days 07:46:00,0,40,0.0,0.0
487,0 days 00:00:00,2 days 08:22:00,0,58,0.0,0.0
246,0 days 00:00:00,2 days 11:26:00,0,68,0.0,0.0
256,0 days 00:00:00,2 days 06:04:00,0,41,0.0,0.0
258,0 days 00:00:00,2 days 16:25:00,0,40,0.0,0.0
260,0 days 00:00:00,9 days 05:35:00,0,126,0.0,0.0
265,0 days 00:00:00,1 days 10:57:00,0,32,0.0,0.0
267,0 days 00:00:00,1 days 08:56:00,0,45,0.0,0.0
268,0 days 00:00:00,0 days 23:35:00,0,34,0.0,0.0
287,0 days 00:00:00,1 days 11:04:00,0,38,0.0,0.0
166,0 days 00:00:00,4 days 02:42:00,0,106,0.0,0.0
130,0 days 00:00:00,1 days 07:29:00,0,49,0.0,0.0
128,0 days 00:00:00,1 days 11:00:00,0,33,0.0,0.0
127,0 days 00:00:00,2 days 07:56:00,0,57,0.0,0.0
125,0 days 00:00:00,5 days 22:54:00,0,87,0.0,0.0
460,0 days 00:00:00,5 days 16:07:00,0,68,0.0,0.0
Metro L Line (Gold) Shuttle 854,0 days 00:00:00,1 days 10:42:00,0,130,0.0,0.0
