Route,Service Hours Canceled,Service Hours Run,Trips Canceled,Trips Run,Percent of Service Hours Canceled,Percent of Trips Canceled
754,3 days 11:31:00,3 days 21:52:00,78,86,47.08258949544302,47.5609756097561
204,4 days 00:17:00,7 days 05:57:00,74,140,35.62970272603923,34.57943925233645
117,2 days 17:26:00,5 days 05:41:00,43,86,34.23737682044126,33.333333333333336
158,0 days 14:18:00,1 days 04:26:00,11,23,33.46333853354134,32.35294117647059
108,3 days 21:25:00,8 days 15:17:00,64,141,31.06640062077375,31.21951219512195
115,2 days 22:05:00,6 days 22:39:00,42,101,29.60433680653337,29.37062937062937
240,3 days 03:18:00,7 days 22:27:00,57,150,28.334901222953903,27.536231884057973
205,1 days 11:51:00,3 days 21:30:00,19,49,27.715500579822187,27.941176470588236
40,4 days 12:09:00,11 days 20:56:00,57,152,27.51324994700021,27.272727272727273
70,4 days 02:09:00,10 days 23:27:00,71,184,27.14325221238938,27.84313725490196
18,3 days 19:18:00,10 days 09:52:00,77,211,26.761113825109916,26.73611111111111
105,2 days 23:43:00,8 days 20:06:00,47,152,25.268659345821835,23.618090452261306
150,0 days 22:00:00,2 days 17:30:00,33,79,25.142857142857142,29.464285714285715
207,3 days 17:42:00,11 days 11:57:00,71,221,24.531655955148366,24.315068493150687
10/48,1 days 18:13:00,5 days 11:55:00,32,102,24.243874425727412,23.880597014925375
166,1 days 04:34:00,3 days 18:11:00,30,97,24.056140350877193,23.62204724409449
Metro J Line (Silver) 910/950,3 days 04:31:00,10 days 04:54:00,68,219,23.806066891366346,23.693379790940767
53,2 days 09:58:00,7 days 19:02:00,41,140,23.65986394557823,22.65193370165746
232,1 days 15:51:00,5 days 10:24:00,22,74,23.40675477239354,22.916666666666668
165,1 days 19:03:00,6 days 01:08:00,31,102,22.876627402355858,23.30827067669173
14/37,2 days 02:19:00,7 days 14:14:00,34,124,21.63692395900523,21.518987341772153
206,1 days 09:01:00,5 days 06:19:00,27,102,20.721757322175733,20.930232558139537
251,2 days 06:46:00,8 days 22:31:00,45,177,20.33793402240515,20.27027027027027
60,2 days 21:32:00,11 days 18:42:00,54,210,19.740702186050914,20.454545454545453
210,2 days 07:19:00,9 days 11:19:00,37,151,19.571883476825096,19.680851063829788
33,3 days 06:03:00,13 days 17:21:00,50,210,19.15807560137457,19.23076923076923
111,2 days 06:24:00,9 days 18:07:00,34,163,18.855063254578013,17.258883248730964
2,3 days 06:20:00,14 days 03:54:00,46,198,18.729576791264844,18.852459016393443
20,1 days 17:21:00,7 days 15:37:00,32,148,18.380500814935544,17.77777777777778
81,1 days 15:02:00,7 days 09:09:00,23,108,18.05566263202529,17.557251908396946
260,1 days 19:10:00,8 days 10:45:00,26,114,17.553371738393764,18.571428571428573
164,1 days 07:27:00,6 days 05:01:00,21,104,17.427041004802366,16.8
66,1 days 17:21:00,8 days 04:33:00,36,168,17.381252627154268,17.647058823529413
266,1 days 03:46:00,5 days 12:10:00,17,82,17.36140058357649,17.171717171717173
690,0 days 10:14:00,2 days 01:05:00,12,58,17.252037089069965,17.142857142857142
55,1 days 04:04:00,5 days 18:03:00,26,122,16.895755994782782,17.56756756756757
162,1 days 09:24:00,7 days 02:51:00,22,121,16.35250917992656,15.384615384615385
Metro G Line (Orange) 901,1 days 10:54:00,7 days 22:03:00,44,236,15.51455879084241,15.714285714285714
217,1 days 06:04:00,7 days 01:59:00,30,173,15.029575939348495,14.77832512315271
234,1 days 08:03:00,7 days 14:37:00,27,172,14.930124223602485,13.5678391959799
51,2 days 03:16:00,12 days 07:57:00,52,248,14.76503624057985,17.333333333333332
16,1 days 22:44:00,11 days 07:43:00,45,256,14.67524990841053,14.950166112956811
90,1 days 03:41:00,7 days 03:06:00,14,87,13.926385511863838,13.861386138613861
256,0 days 07:18:00,1 days 22:46:00,6,35,13.501849568434032,14.634146341463415
76,0 days 22:23:00,6 days 01:52:00,16,112,13.303615651312532,12.5
30,1 days 05:12:00,8 days 00:45:00,30,198,13.156116242396937,13.157894736842104
233,1 days 04:29:00,7 days 21:34:00,26,175,13.062753191164106,12.935323383084578
152,1 days 00:39:00,7 days 00:40:00,17,122,12.751099232692473,12.23021582733813
Metro L Line (Gold) Shuttle 854,0 days 04:16:00,1 days 06:26:00,16,114,12.295869356388089,12.307692307692308
28,1 days 06:24:00,9 days 12:27:00,27,192,11.744253428626617,12.32876712328767
78,0 days 23:56:00,7 days 12:06:00,21,170,11.730109459238687,10.99476439790576
45,1 days 08:15:00,10 days 08:19:00,25,188,11.494594273494119,11.737089201877934
4,2 days 10:22:00,19 days 14:32:00,34,256,11.035482447847734,11.724137931034482
212,1 days 02:43:00,9 days 01:30:00,23,170,10.939739302531905,11.917098445595855
92,0 days 19:38:00,6 days 19:58:00,13,98,10.693536673928831,11.711711711711711
110,0 days 20:20:00,7 days 05:56:00,14,110,10.466712422786548,11.290322580645162
169,0 days 07:00:00,2 days 15:28:00,3,33,9.933774834437086,8.333333333333334
128,0 days 03:14:00,1 days 07:46:00,3,30,9.238095238095237,9.090909090909092
180,1 days 01:29:00,10 days 13:35:00,19,186,9.131629240324893,9.268292682926829
720,1 days 17:06:00,17 days 15:42:00,33,324,8.84251290877797,9.243697478991596
224/690,0 days 12:17:00,5 days 08:21:00,12,127,8.734297226831002,8.633093525179856
761,0 days 17:01:00,8 days 21:54:00,9,114,7.369180801154818,7.317073170731708
35/38,0 days 08:22:00,4 days 10:53:00,12,118,7.259580621836587,9.23076923076923
605,0 days 03:09:00,1 days 20:12:00,7,103,6.652587117212249,6.363636363636363
242/243,0 days 02:42:00,1 days 18:01:00,6,90,6.038017144986955,6.25
230,0 days 04:15:00,2 days 18:36:00,5,77,5.998588567395907,6.097560975609756
94,0 days 10:02:00,7 days 05:52:00,7,121,5.455863694036614,5.46875
125,0 days 06:52:00,5 days 16:02:00,4,83,4.805225099136925,4.597701149425287
106,0 days 06:19:00,5 days 16:23:00,4,103,4.426535856108386,3.7383177570093458
222,0 days 02:22:00,2 days 18:36:00,2,70,3.431609473175447,2.7777777777777777
662,0 days 02:08:00,2 days 18:20:00,2,69,3.11587147030185,2.816901408450704
244,0 days 00:59:00,1 days 15:04:00,2,68,2.455264253017062,2.857142857142857
577,0 days 01:02:00,2 days 08:56:00,1,55,1.7826336975273145,1.7857142857142858
602,0 days 00:17:00,1 days 16:07:00,2,58,0.7013201320132013,3.3333333333333335
182,0 days 00:27:00,2 days 22:56:00,3,71,0.6303992528601448,4.054054054054054
344,0 days 00:00:00,2 days 00:34:00,0,49,0.0,0.0
660,0 days 00:00:00,1 days 03:00:00,0,77,0.0,0.0
665,0 days 00:00:00,0 days 11:22:00,0,32,0.0,0.0
686,0 days 00:00:00,0 days 12:00:00,0,34,0.0,0.0
154,0 days 00:00:00,1 days 04:37:00,0,32,0.0,0.0
130,0 days 00:00:00,1 days 07:29:00,0,49,0.0,0.0
265,0 days 00:00:00,1 days 10:57:00,0,32,0.0,0.0
209,0 days 00:00:00,1 days 00:12:00,0,32,0.0,0.0
127,0 days 00:00:00,3 days 12:55:00,0,108,0.0,0.0
258,0 days 00:00:00,3 days 10:24:00,0,52,0.0,0.0
211/215,0 days 00:00:00,0 days 21:40:00,0,20,0.0,0.0
246,0 days 00:00:00,3 days 01:15:00,0,82,0.0,0.0
120,0 days 00:00:00,4 days 11:04:00,0,54,0.0,0.0
102,0 days 00:00:00,2 days 16:58:00,0,53,0.0,0.0
218,0 days 00:00:00,1 days 00:51:00,0,38,0.0,0.0
96,0 days 00:00:00,1 days 16:24:00,0,43,0.0,0.0
237,0 days 00:00:00,2 days 10:03:00,0,37,0.0,0.0
236,0 days 00:00:00,2 days 18:27:00,0,66,0.0,0.0
202,0 days 00:00:00,0 days 20:06:00,0,29,0.0,0.0
62,0 days 00:00:00,4 days 13:58:00,0,58,0.0,0.0
155,0 days 00:00:00,2 days 07:36:00,0,36,0.0,0.0
617,0 days 00:00:00,1 days 11:35:00,0,49,0.0,0.0
179,0 days 00:00:00,2 days 01:12:00,0,73,0.0,0.0
294,0 days 00:00:00,2 days 11:56:00,0,71,0.0,0.0
460,0 days 00:00:00,6 days 10:07:00,0,77,0.0,0.0
487,0 days 00:00:00,2 days 08:22:00,0,58,0.0,0.0
501,0 days 00:00:00,2 days 23:08:00,0,82,0.0,0.0
177,0 days 00:00:00,0 days 14:24:00,0,32,0.0,0.0
287,0 days 00:00:00,2 days 00:52:00,0,51,0.0,0.0
268,0 days 00:00:00,1 days 07:57:00,0,46,0.0,0.0
167,0 days 00:00:00,2 days 11:08:00,0,41,0.0,0.0
550,0 days 00:00:00,1 days 10:49:00,0,38,0.0,0.0
161,0 days 00:00:00,2 days 00:46:00,0,42,0.0,0.0
601,0 days 00:00:00,0 days 23:26:00,0,114,0.0,0.0
603,0 days 00:00:00,8 days 09:21:00,0,156,0.0,0.0
267,0 days 00:00:00,1 days 17:52:00,0,57,0.0,0.0
611,0 days 00:00:00,1 days 17:09:00,0,36,0.0,0.0
534,0 days 00:00:00,1 days 22:22:00,0,47,0.0,0.0
