Route,Service Hours Canceled,Service Hours Run,Trips Canceled,Trips Run,Percent of Service Hours Canceled,Percent of Trips Canceled
81,1 days 09:17:00,5 days 14:54:00,20,85,19.78991180259637,19.047619047619047
240,1 days 04:36:00,6 days 13:39:00,22,127,15.355704697986576,14.765100671140939
158,0 days 05:23:00,1 days 05:48:00,5,25,15.300805305542397,16.666666666666668
45,1 days 10:00:00,8 days 00:16:00,28,154,15.026517383618149,15.384615384615385
66,0 days 20:43:00,5 days 00:05:00,19,109,14.713541666666666,14.84375
14/37,0 days 21:55:00,6 days 03:56:00,15,109,12.903542341281524,12.096774193548388
94,0 days 12:04:00,3 days 15:29:00,9,65,12.121212121212121,12.162162162162161
20,0 days 19:15:00,5 days 22:16:00,16,124,11.91827468785471,11.428571428571429
165,0 days 10:24:00,3 days 04:52:00,8,58,11.917494270435446,12.121212121212121
162,0 days 12:07:00,3 days 23:56:00,9,73,11.213944161653556,10.975609756097562
237,0 days 06:09:00,2 days 01:36:00,4,32,11.031390134529149,11.11111111111111
53,0 days 17:14:00,6 days 02:42:00,12,113,10.512403416022773,9.6
16,0 days 21:54:00,7 days 20:37:00,21,190,10.402976803103476,9.95260663507109
207,0 days 23:37:00,8 days 22:22:00,19,188,9.923664122137405,9.178743961352657
601,0 days 02:06:00,0 days 20:53:00,11,103,9.137055837563452,9.649122807017545
210,0 days 17:55:00,8 days 15:24:00,12,144,7.95177158073822,7.6923076923076925
18,0 days 21:09:00,10 days 18:37:00,18,227,7.5598713213392115,7.346938775510204
28,0 days 10:48:00,5 days 19:59:00,10,127,7.162595335470321,7.299270072992701
720,0 days 19:07:00,11 days 04:29:00,16,225,6.64696337505795,6.639004149377594
256,0 days 03:12:00,1 days 23:33:00,3,35,6.305418719211823,7.894736842105263
180,0 days 10:52:00,6 days 21:05:00,9,128,6.175996968835843,6.569343065693431
154,0 days 01:40:00,1 days 01:54:00,2,30,6.045949214026602,6.25
251,0 days 10:47:00,8 days 18:19:00,8,180,4.877129503995175,4.25531914893617
230,0 days 01:40:00,1 days 13:24:00,2,43,4.266211604095563,4.444444444444445
105,0 days 07:47:00,7 days 10:37:00,5,132,4.175608011444921,3.6496350364963503
150,0 days 01:45:00,1 days 19:03:00,2,60,3.90625,3.225806451612903
115,0 days 05:32:00,5 days 20:27:00,3,87,3.7903870304829317,3.3333333333333335
164,0 days 02:52:00,3 days 11:45:00,2,63,3.3096016932845873,3.076923076923077
206,0 days 02:30:00,3 days 05:07:00,2,66,3.140046054008792,2.9411764705882355
232,0 days 03:28:00,4 days 11:01:00,2,63,3.1377281641273194,3.076923076923077
10/48,0 days 03:35:00,4 days 15:48:00,2,85,3.1055900621118013,2.2988505747126435
266,0 days 03:05:00,4 days 02:13:00,2,66,3.043764396182955,2.9411764705882355
40,0 days 07:35:00,10 days 10:09:00,4,141,2.9423176409725813,2.7586206896551726
155,0 days 01:20:00,2 days 04:53:00,1,35,2.459268367660621,2.7777777777777777
30,0 days 03:56:00,6 days 21:14:00,4,175,2.3251231527093594,2.2346368715083798
2,0 days 05:33:00,11 days 10:48:00,3,166,1.9796682718031033,1.7751479289940828
204,0 days 03:53:00,8 days 17:12:00,3,178,1.8224481814626516,1.6574585635359116
110,0 days 01:34:00,3 days 16:36:00,1,61,1.7375231053604436,1.6129032258064515
108,0 days 02:53:00,7 days 02:41:00,2,118,1.6612252736700595,1.6666666666666667
117,0 days 01:33:00,3 days 22:45:00,1,70,1.6095534787123573,1.408450704225352
92,0 days 01:39:00,4 days 08:47:00,1,64,1.5502662073285312,1.5384615384615385
234,0 days 02:14:00,5 days 22:16:00,2,137,1.5455594002306805,1.4388489208633093
60,0 days 03:09:00,11 days 05:11:00,2,185,1.156670746634027,1.0695187165775402
212,0 days 01:18:00,5 days 03:34:00,1,102,1.0411105178857447,0.970873786407767
51,0 days 02:01:00,11 days 01:31:00,2,240,0.7538001495140793,0.8264462809917356
111,0 days 01:16:00,7 days 01:29:00,1,129,0.741825280624695,0.7692307692307693
4,0 days 01:56:00,13 days 16:16:00,1,201,0.5855037351100343,0.49504950495049505
754,0 days 00:00:00,4 days 19:09:00,0,114,0.0,0.0
76,0 days 00:00:00,4 days 11:29:00,0,88,0.0,0.0
120,0 days 00:00:00,2 days 22:17:00,0,38,0.0,0.0
Metro J Line (Silver) 910/950,0 days 00:00:00,6 days 15:26:00,0,141,0.0,0.0
Metro G Line (Orange) 901,0 days 00:00:00,7 days 02:32:00,0,218,0.0,0.0
534,0 days 00:00:00,1 days 07:54:00,0,32,0.0,0.0
55,0 days 00:00:00,3 days 17:22:00,0,87,0.0,0.0
550,0 days 00:00:00,0 days 20:14:00,0,34,0.0,0.0
96,0 days 00:00:00,1 days 02:13:00,0,32,0.0,0.0
106,0 days 00:00:00,3 days 04:27:00,0,59,0.0,0.0
90,0 days 00:00:00,4 days 23:06:00,0,66,0.0,0.0
602,0 days 00:00:00,1 days 04:48:00,0,46,0.0,0.0
603,0 days 00:00:00,7 days 04:15:00,0,156,0.0,0.0
