Route,Service Hours Canceled,Service Hours Run,Trips Canceled,Trips Run,Percent of Service Hours Canceled,Percent of Trips Canceled
605,0 days 05:02:00,1 days 18:19:00,11,99,10.630059838085181,10.0
28,0 days 19:11:00,8 days 01:38:00,16,163,9.01401832563239,8.938547486033519
266,0 days 14:05:00,6 days 01:51:00,9,90,8.805752396832013,9.090909090909092
45,0 days 21:03:00,9 days 18:11:00,16,178,8.247355361107484,8.24742268041237
16,0 days 22:52:00,11 days 03:52:00,20,255,7.865168539325842,7.2727272727272725
117,0 days 10:40:00,5 days 18:54:00,7,95,7.1317138399821705,6.862745098039215
53,0 days 15:01:00,8 days 12:37:00,10,152,6.837152830475034,6.172839506172839
167,0 days 03:57:00,2 days 07:11:00,3,38,6.679819616685457,7.317073170731708
602,0 days 02:40:00,1 days 13:44:00,4,56,6.600660066006601,6.666666666666667
2,0 days 23:43:00,14 days 12:50:00,14,204,6.3660358788529505,6.422018348623853
30,0 days 11:58:00,7 days 16:50:00,13,189,6.080623306233062,6.435643564356436
40,0 days 20:31:00,13 days 18:23:00,10,178,5.846869953453026,5.319148936170213
20,0 days 10:47:00,7 days 16:39:00,9,148,5.517653078628689,5.732484076433121
18,0 days 17:14:00,12 days 07:06:00,14,249,5.517609391675561,5.32319391634981
51,0 days 17:40:00,12 days 18:47:00,15,265,5.445112241228746,5.357142857142857
577,0 days 03:08:00,2 days 06:50:00,3,53,5.405405405405405,5.357142857142857
603,0 days 09:09:00,8 days 00:12:00,7,149,4.544325800844301,4.487179487179487
14/37,0 days 09:47:00,8 days 23:41:00,6,147,4.339148432879953,3.9215686274509802
60,0 days 14:17:00,13 days 07:39:00,9,241,4.277300858454781,3.6
4,0 days 16:18:00,16 days 18:39:00,9,223,3.8906790786490033,3.8793103448275863
162,0 days 05:49:00,6 days 21:35:00,4,117,3.3936211590820693,3.3057851239669422
205,0 days 04:11:00,5 days 05:10:00,2,66,3.2341193145213247,2.9411764705882355
115,0 days 06:39:00,8 days 16:49:00,4,126,3.086324257425743,3.076923076923077
210,0 days 07:45:00,10 days 16:02:00,5,171,2.938017312188033,2.840909090909091
720,0 days 11:36:00,17 days 01:35:00,9,313,2.75414506746864,2.7950310559006213
204,0 days 06:23:00,9 days 13:24:00,5,183,2.7072877641902875,2.6595744680851063
108,0 days 06:48:00,10 days 13:19:00,4,170,2.6142115717306336,2.2988505747126435
152,0 days 04:20:00,7 days 00:24:00,3,122,2.5086839058278656,2.4
55,0 days 03:37:00,6 days 00:48:00,3,130,2.4368332397529477,2.255639097744361
207,0 days 07:43:00,13 days 05:49:00,7,257,2.370468973991399,2.6515151515151514
501,0 days 01:39:00,2 days 21:29:00,2,80,2.3195876288659796,2.4390243902439024
690,0 days 00:48:00,1 days 10:47:00,1,41,2.2482435597189694,2.380952380952381
217,0 days 03:38:00,7 days 01:23:00,4,173,2.099990367016665,2.2598870056497176
212,0 days 03:00:00,7 days 01:44:00,2,137,1.7367811655731378,1.4388489208633093
105,0 days 04:46:00,11 days 10:13:00,3,193,1.7085847422187705,1.530612244897959
244,0 days 00:41:00,1 days 15:55:00,1,70,1.6830870279146142,1.408450704225352
224/690,0 days 01:56:00,5 days 08:40:00,2,127,1.4803471158754467,1.550387596899225
33,0 days 03:14:00,13 days 12:33:00,2,209,0.9864239589159506,0.9478672985781991
94,0 days 01:29:00,7 days 05:49:00,1,121,0.8461684730937441,0.819672131147541
10/48,0 days 00:54:00,6 days 16:09:00,1,124,0.55883266066439,0.8
Metro G Line (Orange) 901,0 days 00:41:00,8 days 10:39:00,1,253,0.3360655737704918,0.3937007874015748
209,0 days 00:00:00,1 days 00:12:00,0,32,0.0,0.0
601,0 days 00:00:00,0 days 23:26:00,0,114,0.0,0.0
62,0 days 00:00:00,3 days 20:10:00,0,49,0.0,0.0
617,0 days 00:00:00,1 days 05:05:00,0,41,0.0,0.0
611,0 days 00:00:00,1 days 17:09:00,0,36,0.0,0.0
