Route,Service Hours Canceled,Service Hours Run,Trips Canceled,Trips Run,Percent of Service Hours Canceled,Percent of Trips Canceled
205,2 days 00:40:00,3 days 08:41:00,24,44,37.62401752351501,35.294117647058826
128,0 days 07:41:00,1 days 03:19:00,7,26,21.952380952380953,21.21212121212121
125,1 days 05:34:00,4 days 17:20:00,18,69,20.690459528808024,20.689655172413794
266,1 days 03:02:00,5 days 12:54:00,16,83,16.902876198416006,16.161616161616163
603,1 days 03:45:00,7 days 05:36:00,21,135,13.781971691085175,13.461538461538462
207,1 days 14:26:00,11 days 23:06:00,28,236,11.806266639361048,10.606060606060606
108,0 days 22:25:00,9 days 21:42:00,14,160,8.617927852886526,8.045977011494253
204,0 days 20:00:00,8 days 23:47:00,15,173,8.482363752032233,7.9787234042553195
20,0 days 11:57:00,7 days 19:29:00,10,153,5.991977268928631,6.134969325153374
14/37,0 days 12:53:00,8 days 20:35:00,8,145,5.7140745121230045,5.228758169934641
256,0 days 02:50:00,2 days 03:14:00,2,39,5.240443896424168,4.878048780487805
605,0 days 02:16:00,1 days 21:05:00,5,105,4.787046814501936,4.545454545454546
117,0 days 05:58:00,5 days 23:36:00,4,98,3.9893024292400265,3.9215686274509802
28,0 days 07:59:00,8 days 12:50:00,6,173,3.7512726133604826,3.35195530726257
754,0 days 05:00:00,6 days 02:15:00,5,135,3.3057851239669422,3.5714285714285716
111,0 days 07:28:00,10 days 02:46:00,5,166,2.9838817104036233,2.9239766081871346
45,0 days 06:59:00,10 days 08:49:00,5,191,2.7299973937972375,2.5510204081632653
152,0 days 04:28:00,7 days 07:13:00,3,131,2.4858547444578427,2.2388059701492535
4,0 days 09:58:00,17 days 00:59:00,6,226,2.3789632812189203,2.586206896551724
16,0 days 06:51:00,11 days 19:53:00,6,269,2.3561109837193306,2.1818181818181817
40,0 days 08:07:00,14 days 06:47:00,4,184,2.313099648522846,2.127659574468085
2,0 days 08:48:00,15 days 14:07:00,5,223,2.2981501632208925,2.192982456140351
166,0 days 01:59:00,4 days 01:04:00,2,105,2.0023557126030624,1.8691588785046729
18,0 days 05:54:00,12 days 18:26:00,5,258,1.8890074706510138,1.9011406844106464
53,0 days 03:57:00,8 days 23:41:00,3,159,1.7984519653968736,1.8518518518518519
55,0 days 02:30:00,6 days 01:55:00,2,131,1.6844469399213924,1.5037593984962405
30,0 days 03:00:00,8 days 01:48:00,3,199,1.524390243902439,1.4851485148514851
33,0 days 03:54:00,13 days 11:53:00,2,209,1.1898103421975899,0.9478672985781991
761,0 days 01:53:00,7 days 09:04:00,1,95,1.05243550339946,1.0416666666666667
